"unique.id","file.name","label","start.time","strain","rat.id","recording"
1,"T0000083","flat",92.7119,"SD","SD22","MomAlone"
2,"T0000083","short",181.1256,"SD","SD22","MomAlone"
3,"T0000083","short",195.5476,"SD","SD22","MomAlone"
4,"T0000083","trill-f",200.5632,"SD","SD22","MomAlone"
5,"T0000083","flat",246.3754,"SD","SD22","MomAlone"
6,"T0000083","short",279.6805,"SD","SD22","MomAlone"
7,"T0000084","unclear",122.8641,"SD","SD22","PupsSep"
8,"T0000084","unclear",123.0156,"SD","SD22","PupsSep"
9,"T0000084","unclear",123.1662,"SD","SD22","PupsSep"
10,"T0000084","short",126.2356,"SD","SD22","PupsSep"
11,"T0000084","short",133.6432,"SD","SD22","PupsSep"
12,"T0000084","short-ur",136.2237,"SD","SD22","PupsSep"
13,"T0000084","short",155.5261,"SD","SD22","PupsSep"
14,"T0000084","short",157.4138,"SD","SD22","PupsSep"
17,"T0000084","short",178.1201,"SD","SD22","PupsSep"
18,"T0000084","short",198.3994,"SD","SD22","PupsSep"
19,"T0000084","short-ur",279.5458,"SD","SD22","PupsSep"
21,"T0000084","short",300.1277,"SD","SD22","PupsSep"
22,"T0000085","flat",0.1018,"SD","SD22","MBT"
23,"T0000085","flat",0.4925,"SD","SD22","MBT"
24,"T0000085","flat",0.9569,"SD","SD22","MBT"
25,"T0000085","flat-z",1.2605,"SD","SD22","MBT"
26,"T0000085","flat-z",1.4551,"SD","SD22","MBT"
27,"T0000085","flat-z",1.6471,"SD","SD22","MBT"
28,"T0000085","flat-z",1.8216,"SD","SD22","MBT"
29,"T0000085","flat",1.9952,"SD","SD22","MBT"
30,"T0000085","flat",2.4263,"SD","SD22","MBT"
31,"T0000085","flat",2.9977,"SD","SD22","MBT"
32,"T0000085","flat",3.3085,"SD","SD22","MBT"
33,"T0000085","flat",3.9183,"SD","SD22","MBT"
34,"T0000085","flat",4.1779,"SD","SD22","MBT"
35,"T0000085","flat under flat",4.3607,"SD","SD22","MBT"
36,"T0000085","flat",4.5742,"SD","SD22","MBT"
37,"T0000085","flat under short",4.7738,"SD","SD22","MBT"
38,"T0000085","flat-z over flat",4.9402,"SD","SD22","MBT"
39,"T0000085","flat-z",5.1092,"SD","SD22","MBT"
40,"T0000085","flat",5.2858,"SD","SD22","MBT"
41,"T0000085","flat-mz",5.4727,"SD","SD22","MBT"
42,"T0000085","flat-z",5.6299,"SD","SD22","MBT"
43,"T0000085","flat",5.8127,"SD","SD22","MBT"
44,"T0000085","flat",6.0195,"SD","SD22","MBT"
45,"T0000085","flat",6.2069,"SD","SD22","MBT"
46,"T0000085","flat under flat",6.3933,"SD","SD22","MBT"
47,"T0000085","flat",6.5827,"SD","SD22","MBT"
49,"T0000085","flat",6.9693,"SD","SD22","MBT"
50,"T0000085","flat",7.1669,"SD","SD22","MBT"
51,"T0000085","flat",7.3625,"SD","SD22","MBT"
52,"T0000085","short",7.5545,"SD","SD22","MBT"
53,"T0000085","short",7.5934,"SD","SD22","MBT"
54,"T0000085","flat-z",7.723,"SD","SD22","MBT"
55,"T0000085","flat",7.9052,"SD","SD22","MBT"
56,"T0000085","flat",7.9513,"SD","SD22","MBT"
57,"T0000085","flat",8.0788,"SD","SD22","MBT"
58,"T0000085","flat",8.2554,"SD","SD22","MBT"
59,"T0000085","flat",8.4587,"SD","SD22","MBT"
60,"T0000085","flat",8.6917,"SD","SD22","MBT"
61,"T0000085","flat-z",8.8796,"SD","SD22","MBT"
62,"T0000085","flat",9.0649,"SD","SD22","MBT"
63,"T0000085","flat",9.24,"SD","SD22","MBT"
64,"T0000085","flat",9.4346,"SD","SD22","MBT"
65,"T0000085","flat",9.604,"SD","SD22","MBT"
66,"T0000085","flat",9.7766,"SD","SD22","MBT"
67,"T0000085","short",9.9517,"SD","SD22","MBT"
68,"T0000085","flat",10.5569,"SD","SD22","MBT"
69,"T0000085","flat",10.7811,"SD","SD22","MBT"
70,"T0000085","flat over flat",10.9639,"SD","SD22","MBT"
71,"T0000085","flat",11.4734,"SD","SD22","MBT"
72,"T0000085","flat",11.7063,"SD","SD22","MBT"
73,"T0000085","flat und flat-z",11.8446,"SD","SD22","MBT"
74,"T0000085","flat",12.0826,"SD","SD22","MBT"
75,"T0000085","flat-z",12.2716,"SD","SD22","MBT"
76,"T0000085","flat und flat-z",12.3996,"SD","SD22","MBT"
77,"T0000085","flat",12.6254,"SD","SD22","MBT"
78,"T0000085","flat",13.4164,"SD","SD22","MBT"
79,"T0000085","flat-z",13.5756,"SD","SD22","MBT"
80,"T0000085","flat und flat-z",13.7441,"SD","SD22","MBT"
81,"T0000085","flat",13.9694,"SD","SD22","MBT"
82,"T0000085","flat over flat",14.1486,"SD","SD22","MBT"
83,"T0000085","flat",14.3508,"SD","SD22","MBT"
84,"T0000085","flat",14.7148,"SD","SD22","MBT"
85,"T0000085","flat",15.3559,"SD","SD22","MBT"
86,"T0000085","flat",15.5719,"SD","SD22","MBT"
87,"T0000085","flat",15.7383,"SD","SD22","MBT"
88,"T0000085","flat",15.9257,"SD","SD22","MBT"
89,"T0000085","flat",16.1361,"SD","SD22","MBT"
90,"T0000085","flat",16.9287,"SD","SD22","MBT"
91,"T0000085","flat",17.1269,"SD","SD22","MBT"
92,"T0000085","flat",17.3281,"SD","SD22","MBT"
93,"T0000085","flat-z",18.4371,"SD","SD22","MBT"
94,"T0000085","flat",18.882,"SD","SD22","MBT"
95,"T0000085","flat",19.1047,"SD","SD22","MBT"
96,"T0000085","flat",19.181,"SD","SD22","MBT"
97,"T0000085","flat",19.3377,"SD","SD22","MBT"
98,"T0000085","flat",19.4723,"SD","SD22","MBT"
99,"T0000085","flat",20.907,"SD","SD22","MBT"
100,"T0000085","flat-mz",21.1481,"SD","SD22","MBT"
101,"T0000085","flat",21.4748,"SD","SD22","MBT"
102,"T0000085","flat",21.8695,"SD","SD22","MBT"
103,"T0000085","flat",22.3124,"SD","SD22","MBT"
104,"T0000085","flat",22.5551,"SD","SD22","MBT"
105,"T0000085","flat",22.9672,"SD","SD22","MBT"
106,"T0000085","flat",23.4255,"SD","SD22","MBT"
107,"T0000085","flat",23.6625,"SD","SD22","MBT"
108,"T0000085","flat",24.1505,"SD","SD22","MBT"
109,"T0000085","flat",24.4167,"SD","SD22","MBT"
110,"T0000085","flat under flat",24.5186,"SD","SD22","MBT"
111,"T0000085","flat",24.7024,"SD","SD22","MBT"
112,"T0000085","flat",24.7802,"SD","SD22","MBT"
113,"T0000085","flat",24.9717,"SD","SD22","MBT"
114,"T0000085","flat",25.1714,"SD","SD22","MBT"
115,"T0000085","flat",25.4259,"SD","SD22","MBT"
116,"T0000085","flat",25.6721,"SD","SD22","MBT"
117,"T0000085","flat",26.0613,"SD","SD22","MBT"
118,"T0000085","flat",26.2348,"SD","SD22","MBT"
119,"T0000085","flat",26.7243,"SD","SD22","MBT"
120,"T0000085","flat under flat",26.8718,"SD","SD22","MBT"
121,"T0000085","flat",27.0561,"SD","SD22","MBT"
122,"T0000085","flat",27.8558,"SD","SD22","MBT"
123,"T0000085","flat",28.0355,"SD","SD22","MBT"
124,"T0000085","flat",28.2567,"SD","SD22","MBT"
125,"T0000085","flat",28.4687,"SD","SD22","MBT"
126,"T0000085","step up",28.6735,"SD","SD22","MBT"
127,"T0000085","flat",28.9003,"SD","SD22","MBT"
128,"T0000085","short",28.9868,"SD","SD22","MBT"
129,"T0000085","flat",29.2536,"SD","SD22","MBT"
130,"T0000085","flat",30.5955,"SD","SD22","MBT"
131,"T0000085","flat",31.2565,"SD","SD22","MBT"
132,"T0000085","flat",33.0368,"SD","SD22","MBT"
133,"T0000085","flat",33.8488,"SD","SD22","MBT"
134,"T0000085","flat under flat",34.0531,"SD","SD22","MBT"
135,"T0000085","flat under flat",34.2737,"SD","SD22","MBT"
136,"T0000085","unclear",34.7253,"SD","SD22","MBT"
137,"T0000085","flat",35.585,"SD","SD22","MBT"
138,"T0000085","flat",36.6008,"SD","SD22","MBT"
139,"T0000085","flat",37.2116,"SD","SD22","MBT"
140,"T0000085","flat",38.571,"SD","SD22","MBT"
141,"T0000085","flat",39.2412,"SD","SD22","MBT"
142,"T0000085","flat",39.4424,"SD","SD22","MBT"
143,"T0000085","flat",40.9651,"SD","SD22","MBT"
144,"T0000085","flat under flat",41.1335,"SD","SD22","MBT"
145,"T0000085","flat",41.6081,"SD","SD22","MBT"
146,"T0000085","flat",42.0142,"SD","SD22","MBT"
147,"T0000085","flat",42.2256,"SD","SD22","MBT"
148,"T0000085","flat",42.3905,"SD","SD22","MBT"
149,"T0000085","flat",42.4524,"SD","SD22","MBT"
150,"T0000085","flat",42.6132,"SD","SD22","MBT"
151,"T0000085","flat",43.6413,"SD","SD22","MBT"
152,"T0000085","flat",47.3103,"SD","SD22","MBT"
153,"T0000085","step down",47.4941,"SD","SD22","MBT"
154,"T0000085","flat",48.3875,"SD","SD22","MBT"
155,"T0000085","flat",48.6164,"SD","SD22","MBT"
156,"T0000085","flat under flat",48.8197,"SD","SD22","MBT"
157,"T0000085","flat",49.5057,"SD","SD22","MBT"
158,"T0000085","flat",49.86,"SD","SD22","MBT"
