Rat ID,File,Strain,Behavior,Start,End,Duration
SD22,T0000085,SD,Retrieval,4,429,425
SD22,T0000085,SD,Hover,430,924,494
SD22,T0000085,SD,LKP,925,1499,574
SD22,T0000085,SD,Hover,1500,1800,300
SD17,T0000105,SD,Retrieval,25,171,146
SD17,T0000105,SD,Hover,250,477,227
SD17,T0000105,SD,LKP,478,734,256
SD17,T0000105,SD,HKP,735,799,64
SD17,T0000105,SD,LKP,800,940,140
SD17,T0000105,SD,HKP,941,986,45
SD17,T0000105,SD,Hover,987,1135,148
SD17,T0000105,SD,Hover,1153,1170,17
SD17,T0000105,SD,Hover,1273,1478,205
SD17,T0000105,SD,LKP,1479,1538,59
SD17,T0000105,SD,HKP,1539,1630,91
SD17,T0000105,SD,LKP,1631,1699,68
SD17,T0000105,SD,Hover,1700,1724,24
SD17,T0000105,SD,LKP,1725,1800,75
SD24,T0000141,SD,Retrieval,9,185,176
SD24,T0000141,SD,Hover,259,546,287
SD24,T0000141,SD,Hover,801,929,128
SD24,T0000141,SD,Hover,1070,1406,336
SD24,T0000141,SD,LKP,1407,1800,393
SD25E4,T0000152,SD,Retrieval,45,817,772
SD25E4,T0000152,SD,Hover,491,533,42
SD25E4,T0000152,SD,Hover,672,842,170
SD25E4,T0000152,SD,Hover,1030,1159,129
SD25E4,T0000152,SD,LKP,1160,1318,158
SD25E4,T0000152,SD,Hover,1319,1344,25
SD25E4,T0000152,SD,LKP,1345,1800,455
SD17E3,T0000155,SD,Retrieval,384,825,441
SD17E3,T0000155,SD,Hover,645,699,54
SD17E3,T0000155,SD,Hover,941,1633,692
SD17E3,T0000155,SD,LKP,1634,1800,166
SD31E5,T0000195,SD,Retrieval,69,138,69
SD31E5,T0000195,SD,Hover,186,699,513
SD31E5,T0000195,SD,LKP,700,1800,1100
SD76,T0000242,SD,Retrieval,298,850,552
SD76,T0000242,SD,Hover,367,507,140
SD76,T0000242,SD,Hover,511,543,32
SD76,T0000242,SD,Hover,632,741,109
SD76,T0000242,SD,Hover,768,821,53
SD76,T0000242,SD,Hover,1051,1215,164
SD76,T0000242,SD,Hover,1319,1800,481
SD78,T0000254,SD,Retrieval,25,129,104
SD78,T0000254,SD,Hover,512,553,41
SD78,T0000254,SD,Hover,605,990,385
SD78,T0000254,SD,Hover,1017,1051,34
SD78,T0000254,SD,Hover,1137,1170,33
SD78,T0000254,SD,Hover,1220,1308,88
SD78,T0000254,SD,Hover,1333,1395,62
SD78,T0000254,SD,Hover,1454,1694,240
SD78,T0000254,SD,LKP,1695,1800,105
WK21,T0000091,WK,Retrieval,21,286,265
WK21,T0000091,WK,Retrieval,1531,1800,269
WK21,T0000091,WK,Hover,627,682,55
WK21,T0000091,WK,Hover,950,980,30
WK21,T0000091,WK,Hover,1080,1379,299
WK21,T0000091,WK,LKP,1380,1499,119
WK21,T0000091,WK,Hover,1500,1560,60
WK2A3C1,T0000096,WK,Retrieval,38,116,78
WK2A3C1,T0000096,WK,Hover,189,293,104
WK2A3C1,T0000096,WK,Hover,645,710,65
WK2A3C1,T0000096,WK,Hover,789,1125,336
WK2A3C1,T0000096,WK,LKP,1126,1800,674
WK26,T0000124,WK,Retrieval,31,91,60
WK26,T0000124,WK,Retrieval,1135,1136,1
WK26,T0000124,WK,Hover,95,370,275
WK26,T0000124,WK,LKP,371,747,376
WK26,T0000124,WK,Hover,748,847,99
WK26,T0000124,WK,LKP,848,960,112
WK26,T0000124,WK,Hover,961,1123,162
WK26,T0000124,WK,Seeds,1140,1461,321
WK26,T0000124,WK,Hover,1462,1800,338
WK29E2,T0000185,WK,Retrieval,10,160,150
WK29E2,T0000185,WK,Retrieval,487,1800,1313
WK29E2,T0000185,WK,Hover,390,470,80
WK29E2,T0000185,WK,Hover,620,660,40
WK29E2,T0000185,WK,Hover,720,1080,360
WK29E2,T0000185,WK,Hover,1260,1800,540
WK34G1,T0000190,WK,Retrieval,30,490,460
WK34G1,T0000190,WK,Hover,270,400,130
WK34G1,T0000190,WK,Hover,450,460,10
WK34G1,T0000190,WK,Hover,780,1269,489
WK34G1,T0000190,WK,LKP,1270,1800,530
WK77,T0000228,WK,Retrieval,64,1215,1151
WK77,T0000228,WK,Hover,255,361,106
WK77,T0000228,WK,Hover,424,469,45
WK77,T0000228,WK,Hover,695,1039,344
WK77,T0000228,WK,LKP,1040,1110,70
WK77,T0000228,WK,Hover,1111,1185,74
WK77,T0000228,WK,Hover,1321,1525,204
WK77,T0000228,WK,LKP,1526,1600,74
WK77,T0000228,WK,Hover,1601,1689,88
WK77,T0000228,WK,LKP,1690,1800,110
WK95,T0000303,WK,Retrieval,27,69,42
WK95,T0000303,WK,Hover,125,174,49
WK95,T0000303,WK,Hover,250,328,78
WK95,T0000303,WK,Hover,796,1185,389
WK95,T0000303,WK,LKP,1186,1800,614
WK95,T0000303,WK,Sat Alone,195,246,51
