"unique.id","file.name","label","duration","start.time","strain","rat.id","recording"
1,"T0000083","flat",0.0215,92.7119,"SD","SD22","MomAlone"
2,"T0000083","short",0.002,181.1256,"SD","SD22","MomAlone"
3,"T0000083","short",0.0035,195.5476,"SD","SD22","MomAlone"
4,"T0000083","trill-f",0.0296,200.5632,"SD","SD22","MomAlone"
5,"T0000083","flat",0.0312,246.3754,"SD","SD22","MomAlone"
6,"T0000083","short",0.001,279.6805,"SD","SD22","MomAlone"
7,"T0000084","unclear",0.0066,122.8641,"SD","SD22","PupsSep"
8,"T0000084","unclear",0.0143,123.0156,"SD","SD22","PupsSep"
9,"T0000084","unclear",0.0117,123.1662,"SD","SD22","PupsSep"
10,"T0000084","short",0.004,126.2356,"SD","SD22","PupsSep"
11,"T0000084","short",0.0046,133.6432,"SD","SD22","PupsSep"
12,"T0000084","short-ur",0.001,136.2237,"SD","SD22","PupsSep"
13,"T0000084","short",0.004,155.5261,"SD","SD22","PupsSep"
14,"T0000084","short",0.0046,157.4138,"SD","SD22","PupsSep"
17,"T0000084","short",5e-04,178.1201,"SD","SD22","PupsSep"
18,"T0000084","short",0.0035,198.3994,"SD","SD22","PupsSep"
19,"T0000084","short-ur",5e-04,279.5458,"SD","SD22","PupsSep"
21,"T0000084","short",0.001,300.1277,"SD","SD22","PupsSep"
22,"T0000085","flat",0.0261,0.1018,"SD","SD22","MBT"
23,"T0000085","flat",0.0414,0.4925,"SD","SD22","MBT"
24,"T0000085","flat",0.0302,0.9569,"SD","SD22","MBT"
25,"T0000085","flat-z",0.0747,1.2605,"SD","SD22","MBT"
26,"T0000085","flat-z",0.0721,1.4551,"SD","SD22","MBT"
27,"T0000085","flat-z",0.0486,1.6471,"SD","SD22","MBT"
28,"T0000085","flat-z",0.0568,1.8216,"SD","SD22","MBT"
29,"T0000085","flat",0.0373,1.9952,"SD","SD22","MBT"
30,"T0000085","flat",0.0568,2.4263,"SD","SD22","MBT"
31,"T0000085","flat",0.0184,2.9977,"SD","SD22","MBT"
32,"T0000085","flat",0.0696,3.3085,"SD","SD22","MBT"
33,"T0000085","flat",0.1049,3.9183,"SD","SD22","MBT"
34,"T0000085","flat",0.0732,4.1779,"SD","SD22","MBT"
36,"T0000085","flat",0.0957,4.5742,"SD","SD22","MBT"
39,"T0000085","flat-z",0.0496,5.1092,"SD","SD22","MBT"
40,"T0000085","flat",0.064,5.2858,"SD","SD22","MBT"
41,"T0000085","flat-mz",0.0399,5.4727,"SD","SD22","MBT"
42,"T0000085","flat-z",0.0614,5.6299,"SD","SD22","MBT"
43,"T0000085","flat",0.0834,5.8127,"SD","SD22","MBT"
44,"T0000085","flat",0.0537,6.0195,"SD","SD22","MBT"
45,"T0000085","flat",0.0834,6.2069,"SD","SD22","MBT"
47,"T0000085","flat",0.0819,6.5827,"SD","SD22","MBT"
49,"T0000085","flat",0.0757,6.9693,"SD","SD22","MBT"
50,"T0000085","flat",0.0834,7.1669,"SD","SD22","MBT"
51,"T0000085","flat",0.067,7.3625,"SD","SD22","MBT"
52,"T0000085","short",0.0076,7.5545,"SD","SD22","MBT"
53,"T0000085","short",0.0056,7.5934,"SD","SD22","MBT"
54,"T0000085","flat-z",0.0517,7.723,"SD","SD22","MBT"
55,"T0000085","flat",0.0122,7.9052,"SD","SD22","MBT"
56,"T0000085","flat",0.0199,7.9513,"SD","SD22","MBT"
57,"T0000085","flat",0.0542,8.0788,"SD","SD22","MBT"
58,"T0000085","flat",0.0839,8.2554,"SD","SD22","MBT"
59,"T0000085","flat",0.1157,8.4587,"SD","SD22","MBT"
60,"T0000085","flat",0.0604,8.6917,"SD","SD22","MBT"
61,"T0000085","flat-z",0.0491,8.8796,"SD","SD22","MBT"
62,"T0000085","flat",0.0481,9.0649,"SD","SD22","MBT"
63,"T0000085","flat",0.0486,9.24,"SD","SD22","MBT"
64,"T0000085","flat",0.0286,9.4346,"SD","SD22","MBT"
65,"T0000085","flat",0.0327,9.604,"SD","SD22","MBT"
66,"T0000085","flat",0.0281,9.7766,"SD","SD22","MBT"
67,"T0000085","short",0.0056,9.9517,"SD","SD22","MBT"
68,"T0000085","flat",0.089,10.5569,"SD","SD22","MBT"
69,"T0000085","flat",0.0604,10.7811,"SD","SD22","MBT"
71,"T0000085","flat",0.0911,11.4734,"SD","SD22","MBT"
72,"T0000085","flat",0.0517,11.7063,"SD","SD22","MBT"
74,"T0000085","flat",0.0563,12.0826,"SD","SD22","MBT"
75,"T0000085","flat-z",0.0496,12.2716,"SD","SD22","MBT"
77,"T0000085","flat",0.0404,12.6254,"SD","SD22","MBT"
78,"T0000085","flat",0.0327,13.4164,"SD","SD22","MBT"
79,"T0000085","flat-z",0.0691,13.5756,"SD","SD22","MBT"
81,"T0000085","flat",0.065,13.9694,"SD","SD22","MBT"
83,"T0000085","flat",0.0343,14.3508,"SD","SD22","MBT"
84,"T0000085","flat",0.0604,14.7148,"SD","SD22","MBT"
85,"T0000085","flat",0.0885,15.3559,"SD","SD22","MBT"
86,"T0000085","flat",0.0993,15.5719,"SD","SD22","MBT"
87,"T0000085","flat",0.087,15.7383,"SD","SD22","MBT"
88,"T0000085","flat",0.0926,15.9257,"SD","SD22","MBT"
89,"T0000085","flat",0.0302,16.1361,"SD","SD22","MBT"
90,"T0000085","flat",0.0332,16.9287,"SD","SD22","MBT"
91,"T0000085","flat",0.0368,17.1269,"SD","SD22","MBT"
92,"T0000085","flat",0.0742,17.3281,"SD","SD22","MBT"
93,"T0000085","flat-z",0.0419,18.4371,"SD","SD22","MBT"
94,"T0000085","flat",0.1489,18.882,"SD","SD22","MBT"
95,"T0000085","flat",0.043,19.1047,"SD","SD22","MBT"
96,"T0000085","flat",0.0542,19.181,"SD","SD22","MBT"
97,"T0000085","flat",0.0568,19.3377,"SD","SD22","MBT"
98,"T0000085","flat",0.0721,19.4723,"SD","SD22","MBT"
99,"T0000085","flat",0.1505,20.907,"SD","SD22","MBT"
100,"T0000085","flat-mz",0.1909,21.1481,"SD","SD22","MBT"
101,"T0000085","flat",0.172,21.4748,"SD","SD22","MBT"
102,"T0000085","flat",0.0286,21.8695,"SD","SD22","MBT"
