rat.id,file.name,strain,behavior,start,end,duration
WK91O1,T0000388,WK,Retrieval,78,356,278
WK91O1,T0000388,WK,Retrieval,843,844,1
WK91O1,T0000388,WK,Hover,560,594,34
WK91O1,T0000388,WK,Hover,844,875,31
WK91O1,T0000388,WK,Hover,1380,1401,21
WK91O1,T0000388,WK,Alone,635,835,200
WK91O1,T0000388,WK,Alone,1137,1378,241
WK91O1,T0000388,WK,Alone,1464,1520,56
WK91O1,T0000388,WK,Alone,1609,1800,191
SD72N1M2,T0000389,SD,Retrieval,5,45,40
SD72N1M2,T0000389,SD,Retrieval,123,124,1
SD72N1M2,T0000389,SD,Hover,111,122,11
SD72N1M2,T0000389,SD,Hover,125,140,15
SD72N1M2,T0000389,SD,Hover,292,405,113
SD72N1M2,T0000389,SD,Hover,438,846,408
SD72N1M2,T0000389,SD,LKP,847,929,82
SD72N1M2,T0000389,SD,Hover,930,964,34
SD72N1M2,T0000389,SD,LKP,965,1418,453
SD72N1M2,T0000389,SD,Hover,1419,1800,381
SD74O2Q4,T0000390,SD,Retrieval,44,205,161
SD74O2Q4,T0000390,SD,Hover,251,291,40
SD74O2Q4,T0000390,SD,Hover,443,829,386
SD74O2Q4,T0000390,SD,LKP,830,1800,970
SD72N1M3,T0000396,SD,Retrieval,10,70,60
SD72N1M3,T0000396,SD,Hover,35,49,14
SD72N1M3,T0000396,SD,Hover,135,159,24
SD72N1M3,T0000396,SD,Hover,207,311,104
SD72N1M3,T0000396,SD,Hover,421,537,116
SD72N1M3,T0000396,SD,LKP,538,1800,1262
SD85S1N4,T0000397,SD,Retrieval,46,71,25
SD85S1N4,T0000397,SD,Retrieval,468,514,46
SD85S1N4,T0000397,SD,Hover,649,670,21
SD85S1N4,T0000397,SD,Hover,945,1050,105
SD85S1N4,T0000397,SD,Hover,1190,1287,97
SD85S1N4,T0000397,SD,Hover,1418,1598,180
SD85S1N4,T0000397,SD,Hover,1758,1800,42
SD108,T0000398,SD,Retrieval,152,250,98
SD108,T0000398,SD,Retrieval,342,348,6
SD108,T0000398,SD,Hover,315,340,25
SD108,T0000398,SD,Hover,415,452,37
SD108,T0000398,SD,Hover,950,1199,249
SD108,T0000398,SD,LKP,1200,1329,129
SD108,T0000398,SD,HKP,1330,1505,175
SD108,T0000398,SD,LKP,1506,1800,294
SD108,T0000398,SD,Alone,600,900,300
SD74O2Q1,T0000399,SD,Retrieval,95,150,55
SD74O2Q1,T0000399,SD,Retrieval,326,327,1
SD74O2Q1,T0000399,SD,Retrieval,1036,1051,15
SD74O2Q1,T0000399,SD,Hover,210,255,45
SD74O2Q1,T0000399,SD,Hover,352,883,531
SD74O2Q1,T0000399,SD,Hover,1261,1693,432
SD74O2Q1,T0000399,SD,LKP,1694,1752,58
SD74O2Q1,T0000399,SD,Hover,1753,1800,47
SD107,T0000400,SD,Retrieval,175,176,1
SD107,T0000400,SD,Retrieval,627,756,129
SD107,T0000400,SD,Hover,425,584,159
SD107,T0000400,SD,Hover,872,1126,254
SD107,T0000400,SD,LKP,1127,1800,673
SD85S1N3,T0000401,SD,Retrieval,5,159,154
SD85S1N3,T0000401,SD,Hover,235,256,21
