rat.id,behavior,start,end
WK99,ret.1,29,33
WK96,ret.1,27,29
WK97,ret.1,42,42
WK98,ret.1,51,53
WK105,ret.1,45,51
WK102,ret.1,21,26
WK100,ret.1,87,89
WK103,ret.1,46,53
WK91O1,ret.1,74,77
WK99,ret.2,53,56
WK96,ret.2,60,62
WK97,ret.2,51,53
WK98,ret.2,126,130
WK105,ret.2,72,75
WK102,ret.2,70,74
WK100,ret.2,108,110
WK103,ret.2,59,62
WK91O1,ret.2,78,80
WK99,ret.3,69,71
WK96,ret.3,83,85
WK97,ret.3,57,59
WK98,ret.3,136,139
WK105,ret.3,97,101
WK102,ret.3,77,80
WK100,ret.3,115,117
WK103,ret.3,71,73
WK91O1,ret.3,122,125
WK99,ret.4,76,78
WK96,ret.4,246,249
WK97,ret.4,511,514
WK98,ret.4,146,149
WK105,ret.4,112,115
WK102,ret.4,85,87
WK100,ret.4,151,155
WK103,ret.4,80,84
WK91O1,ret.4,131,134
WK99,ret.5,504,506
WK96,ret.5,,
WK97,ret.5,516,518
WK98,ret.5,230,236
WK105,ret.5,170,175
WK102,ret.5,103,105
WK100,ret.5,172,174
WK103,ret.5,100,103
WK91O1,ret.5,252,274
WK99,ret.6,1507,1510
WK96,ret.6,,
WK97,ret.6,701,705
WK98,ret.6,,
WK105,ret.6,201,207
WK102,ret.6,110,112
WK100,ret.6,182,186
WK103,ret.6,109,112
WK91O1,ret.6,300,310
WK99,ret.7,,
WK96,ret.7,,
WK97,ret.7,,
WK98,ret.7,,
WK105,ret.7,270,272
WK102,ret.7,126,129
WK100,ret.7,226,229
WK103,ret.7,130,135
WK91O1,ret.7,353,357
WK99,ret.8,,
WK96,ret.8,,
WK97,ret.8,,
WK98,ret.8,,
WK105,ret.8,,
WK102,ret.8,142,146
WK100,ret.8,1670,1684
WK103,ret.8,173,176
WK91O1,ret.8,839,845
WK99,hover,1740,1800
WK96,hover,498,1033
WK97,hover,706,891
WK98,hover,951,1131
WK105,hover,437,565
WK102,hover,431,807
WK100,hover,229,888
WK103,hover,358,462
WK91O1,hover,845,869
WK99,nurse,965,1172
WK96,nurse,1033,1604
WK97,nurse,891,1531
WK98,nurse,1347,1800
WK105,nurse,1000,1800
WK102,nurse,861,1800
WK100,nurse,947,1585
WK103,nurse,1211,1800
WK91O1,nurse,,
WK99,away.nest,1527,1551
WK96,away.nest,,
WK97,away.nest,,
WK98,away.nest,344,356
WK105,away.nest,570,624
WK102,away.nest,,
WK100,away.nest,1696,1800
WK103,away.nest,502,582
WK91O1,away.nest,,
WK99,away.act,1560,1591
WK96,away.act,,
WK97,away.act,,
WK98,away.act,417,484
WK105,away.act,640,680
WK102,away.act,386,425
WK100,away.act,,
WK103,away.act,265,310
WK91O1,away.act,1035,1130
WK99,away.inact,,
WK96,away.inact,,
WK97,away.inact,,
WK98,away.inact,,
WK105,away.inact,,
WK102,away.inact,,
WK100,away.inact,,
WK103,away.inact,,
WK91O1,away.inact,676,794
