rat.id,file.name,strain,recording,retrieval,mouthing,corporal,anogenital,nest.building,lat.retrieve,lat.group,lat.hover,lat.nurse,dur.hover,dur.nurse,crossing,rearing,self.groom
SD85S1N4,T0000397,SD,MSX3,9,1,27,17,17,46,515,945,1800,445,0,102,60,26
SD108,T0000398,SD,MSX3,7,4,26,16,0,152,348,950,1200,311,598,30,12,21
SD74O2Q1,T0000399,SD,MSX3,8,6,42,45,18,95,1051,352,1694,1055,58,64,24,3
SD107,T0000400,SD,MSX3,7,3,25,19,8,175,756,425,1127,413,673,58,17,7
SD85S1N3,T0000401,SD,MSX3,10,0,12,14,16,5,159,326,1355,575,445,45,39,1
SD109,T0000402,SD,MSX3,7,10,24,18,9,10,71,1606,1800,334,0,90,63,19
SD85,T0000298,SD,MSX3,8,2,11,17,0,54,155,456,886,794,395,42,19,4
SD88,T0000299,SD,MSX3,5,7,14,11,12,164,393,240,1800,535,0,72,49,14
SD72N1M2,T0000389,SD,VEH,5,2,50,39,3,5,124,438,847,962,535,29,11,3
SD74O2Q4,T0000390,SD,VEH,8,4,32,12,5,44,205,443,830,426,970,28,21,2
SD72N1M3,T0000396,SD,VEH,8,1,13,7,14,10,70,421,538,258,1262,16,5,0
SD76N3Q2,T0000403,SD,VEH,10,12,44,32,0,1,102,280,583,831,721,40,1,3
SD72N1M4,T0000404,SD,VEH,9,9,30,21,8,1,103,1800,1800,539,0,77,52,9
SD112,T0000409,SD,VEH,11,3,22,23,16,54,675,270,1343,671,457,37,15,7
SD110,T0000410,SD,VEH,9,1,14,15,19,123,428,274,1322,554,478,56,19,15
SD111,T0000413,SD,VEH,8,2,9,12,17,14,1288,645,1525,445,275,56,24,6
WK101,T0000411,WK,MSX3,6,4,21,33,23,20,1800,256,1800,678,0,67,31,13
WK86,T0000291,WK,MSX3,17,5,16,19,6,70,737,501,1436,465,360,89,16,3
WK85,T0000292,WK,MSX3,7,3,34,23,17,29,186,206,516,877,407,32,11,3
WK90,T0000293,WK,MSX3,13,3,27,19,15,20,516,516,860,498,284,64,25,4
WK91,T0000297,WK,MSX3,0,2,12,3,3,1800,1800,1800,1133,0,667,31,20,3
WK8,T0000058,WK,MSX3,8,4,18,11,16,78,1800,831,1330,928,131,33,20,3
WK4,T0000060,WK,MSX3,4,1,9,3,9,1451,1800,1211,1800,349,0,45,30,3
WK2AUC2,T0000061,WK,MSX3,10,0,14,6,6,32,201,221,940,482,619,32,11,4
WK91O1,T0000388,WK,VEH,9,3,17,5,3,78,844,1800,1800,86,0,59,30,11
WK96,T0000406,WK,VEH,5,3,18,29,4,19,1800,283,993,769,745,17,10,6
WK99,T0000407,WK,VEH,5,3,19,15,18,29,1800,758,954,831,277,54,36,7
WK102,T0000408,WK,VEH,6,3,8,4,5,19,1800,432,836,516,964,23,11,3
WK98,T0000412,WK,VEH,6,2,15,12,11,51,1800,630,1338,588,462,26,27,14
WK103,T0000414,WK,VEH,8,0,6,2,24,45,173,358,1185,355,615,55,22,1
WK105,T0000415,WK,VEH,8,4,12,11,6,45,1800,439,843,263,914,40,26,2
WK100,T0000416,WK,VEH,8,1,19,5,11,87,1681,480,325,530,907,20,3,4
WK97,T0000417,WK,VEH,4,3,5,12,0,50,1800,227,739,472,974,22,12,3
