rat.id,litter.weight,no.pups,ppd.weight,ppd.day1.test,ppd.day2.test,bw.pup,strain
SD22,127.1,18,6,6,7,7.061111111,SD
WK21,102.27,11,6,6,7,9.297272727,WK
WK2A3C1,87.8,11,5,5,9,7.981818182,WK
SD17,249.29,9,8,8,9,27.69888889,SD
SD24,160.03,8,7,7,8,20.00375,SD
WK26,75.48,7,10,10,11,10.78285714,WK
SD25E4,233.58,13,9,8,9,17.96769231,SD
SD17E3,248.94,17,7,7,8,14.64352941,SD
WK29E2,59.41,7,7,7,8,8.487142857,WK
WK34G1,89.51,10,6,7,8,8.951,WK
SD31E5,189.9,14,6,7,8,13.56428571,SD
WK77,149.4,8,8,7,8,18.675,WK
SD76,188.2,9,9,7,8,20.91111111,SD
SD78,126.9,8,6,7,8,15.8625,SD
WK95,84.72,6,8,7,8,14.12,WK
