label,duration,start.time,peak.freq(max),peak.freq(mean),peak.freq(minentire),peak.freq(maxentire),file.name
short-c,0.0066,5.0135,49800,49800,47300,50200,T0000152
short-ur,0.0046,5.0862,59000,60000,56100,62500,T0000152
flat - harmx,0.0619,6.3493,46800,46300,44900,47300,T0000152
complex,0.0163,7.4347,61000,57100,56100,61500,T0000152
short,0.0056,15.2801,65400,65400,63900,66400,T0000152
complex,0.0148,18.2574,41000,39500,37500,42900,T0000152
short,0.0087,19.8809,57600,57600,56100,58500,T0000152
short,0.003,20.6259,56100,55600,54100,56600,T0000152
short,0.0035,20.9576,66400,67300,65900,68300,T0000152
short-ur,0.002,21.9729,68800,68800,67800,70800,T0000152
flat-z - harmx,0.1034,22.0446,38000,38500,37500,43400,T0000152
flat-mz - harmx,0.0993,22.2464,45400,38500,37500,45400,T0000152
flat,0.0532,22.4404,37500,37500,36600,38500,T0000152
flat - harmx,0.0368,22.8167,38500,39000,38000,40000,T0000152
flat,0.0168,25.2697,52200,51700,50700,52200,T0000152
short-ur,0.003,27.6812,62900,63400,60000,63900,T0000152
inverted-u - harmx,0.0271,27.7217,49800,51700,47300,52700,T0000152
short-c,0.0035,28.6407,64900,64900,62500,65900,T0000152
short-c,0.0035,29.2935,65400,64900,63900,66800,T0000152
short-ur,0.003,30.1716,60000,59500,57100,60500,T0000152
short-ur,0.003,32.195,59000,59000,59000,62000,T0000152
short-c,0.0056,34.3475,47800,47800,45400,48300,T0000152
short-ur,0.0035,34.6521,62900,62500,60000,63900,T0000152
complex,0.0317,34.6854,50700,50200,48800,52700,T0000152
short-ur,0.004,34.9731,66800,65900,64900,67300,T0000152
short-dr - harmx,0.0092,35.8661,22400,22900,19500,24400,T0000152
short,0.0046,36.0504,50200,49800,49300,50700,T0000152
flat - harmx,0.0245,38.807,48300,48800,43900,49800,T0000152
short,0.0107,39.6948,56100,55600,54600,56600,T0000152
step down - harmx,0.0194,39.7409,47300,46800,43400,77100,T0000152
flat - harmx,0.0455,39.8745,50700,50200,48300,51200,T0000152
short-ur,0.0056,40.2293,80000,82000,79100,83000,T0000152
downward ramp,0.0163,44.7759,59000,58500,51700,59500,T0000152
short,0.0046,45.1031,56600,56100,55600,56600,T0000152
short,0.004,45.6345,81500,81000,81000,81500,T0000152
