"categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","rat.id","recording","new.per"
"flat",124,"T0000058",276,0.449275362318841,"WK","WK8","MSX3",0.490118577075099
"flat-z",5,"T0000058",276,0.0181159420289855,"WK","WK8","MSX3",0.0197628458498024
"flat-mz",1,"T0000058",276,0.0036231884057971,"WK","WK8","MSX3",0.00395256916996047
"short",72,"T0000058",276,0.260869565217391,"WK","WK8","MSX3",0.284584980237154
"short-ur",9,"T0000058",276,0.0326086956521739,"WK","WK8","MSX3",0.0355731225296443
"short-c",10,"T0000058",276,0.036231884057971,"WK","WK8","MSX3",0.0395256916996047
"complex",19,"T0000058",276,0.0688405797101449,"WK","WK8","MSX3",0.075098814229249
"step up",7,"T0000058",276,0.0253623188405797,"WK","WK8","MSX3",0.0276679841897233
"trill",1,"T0000058",276,0.0036231884057971,"WK","WK8","MSX3",0.00395256916996047
"trill-c",0,"T0000058",276,0,"WK","WK8","MSX3",0
"unclear",5,"T0000058",276,0.0181159420289855,"WK","WK8","MSX3",0.0197628458498024
"flat",156,"T0000060",386,0.404145077720207,"WK","WK4","MSX3",0.440677966101695
"flat-z",14,"T0000060",386,0.0362694300518135,"WK","WK4","MSX3",0.0395480225988701
"flat-mz",16,"T0000060",386,0.0414507772020725,"WK","WK4","MSX3",0.0451977401129944
"short",96,"T0000060",386,0.248704663212435,"WK","WK4","MSX3",0.271186440677966
"short-ur",3,"T0000060",386,0.0077720207253886,"WK","WK4","MSX3",0.00847457627118644
"short-c",8,"T0000060",386,0.0207253886010363,"WK","WK4","MSX3",0.0225988700564972
"complex",21,"T0000060",386,0.0544041450777202,"WK","WK4","MSX3",0.0593220338983051
"step up",17,"T0000060",386,0.0440414507772021,"WK","WK4","MSX3",0.0480225988700565
"trill",4,"T0000060",386,0.0103626943005181,"WK","WK4","MSX3",0.0112994350282486
"trill-c",0,"T0000060",386,0,"WK","WK4","MSX3",0
"unclear",19,"T0000060",386,0.0492227979274611,"WK","WK4","MSX3",0.0536723163841808
"flat",174,"T0000061",397,0.438287153652393,"WK","WK2AUC2","MSX3",0.450777202072539
"flat-z",27,"T0000061",397,0.0680100755667506,"WK","WK2AUC2","MSX3",0.0699481865284974
"flat-mz",19,"T0000061",397,0.0478589420654912,"WK","WK2AUC2","MSX3",0.0492227979274611
"short",57,"T0000061",397,0.143576826196474,"WK","WK2AUC2","MSX3",0.147668393782383
"short-ur",4,"T0000061",397,0.0100755667506297,"WK","WK2AUC2","MSX3",0.0103626943005181
