"label","time.group","file.name","strain","rat.id","recording","time.count","tot.count.in.time","rel.call.count"
"complex","b4","T0000100","SD","SD22","MA",0,7,0
"flat","b4","T0000100","SD","SD22","MA",7,7,1
"flat-mz","b4","T0000100","SD","SD22","MA",0,7,0
"flat-z","b4","T0000100","SD","SD22","MA",0,7,0
"short","b4","T0000100","SD","SD22","MA",0,7,0
"upward ramp","b4","T0000100","SD","SD22","MA",0,7,0
"inverted-u","b4","T0000100","SD","SD22","MA",0,7,0
"short-c","b4","T0000100","SD","SD22","MA",0,7,0
"step up","b4","T0000100","SD","SD22","MA",0,7,0
"multi-step","b4","T0000100","SD","SD22","MA",0,7,0
"short-ur","b4","T0000100","SD","SD22","MA",0,7,0
"complex","during","T0000100","SD","SD22","MA",0,40,0
"flat","during","T0000100","SD","SD22","MA",31,40,0.775
"flat-mz","during","T0000100","SD","SD22","MA",3,40,0.075
"flat-z","during","T0000100","SD","SD22","MA",3,40,0.075
"short","during","T0000100","SD","SD22","MA",2,40,0.05
"upward ramp","during","T0000100","SD","SD22","MA",1,40,0.025
"inverted-u","during","T0000100","SD","SD22","MA",0,40,0
"short-c","during","T0000100","SD","SD22","MA",0,40,0
"step up","during","T0000100","SD","SD22","MA",0,40,0
"multi-step","during","T0000100","SD","SD22","MA",0,40,0
"short-ur","during","T0000100","SD","SD22","MA",0,40,0
"complex","b4","T0000102","WK","WK21","MA",1,11,0.0909090909090909
"flat","b4","T0000102","WK","WK21","MA",8,11,0.727272727272727
"flat-mz","b4","T0000102","WK","WK21","MA",0,11,0
"flat-z","b4","T0000102","WK","WK21","MA",0,11,0
"short","b4","T0000102","WK","WK21","MA",1,11,0.0909090909090909
"upward ramp","b4","T0000102","WK","WK21","MA",0,11,0
"inverted-u","b4","T0000102","WK","WK21","MA",1,11,0.0909090909090909
"short-c","b4","T0000102","WK","WK21","MA",0,11,0
"step up","b4","T0000102","WK","WK21","MA",0,11,0
"multi-step","b4","T0000102","WK","WK21","MA",0,11,0
"short-ur","b4","T0000102","WK","WK21","MA",0,11,0
"complex","during","T0000102","WK","WK21","MA",0,9,0
"flat","during","T0000102","WK","WK21","MA",5,9,0.555555555555556
"flat-mz","during","T0000102","WK","WK21","MA",0,9,0
"flat-z","during","T0000102","WK","WK21","MA",0,9,0
