"rat.id","label","total.counts","strain","recording","total.filecount","percent"
"SD22","flat",12.875,"SD","MA",16.5,0.78030303030303
"WK21","flat",1,"WK","MA",2.125,0.470588235294118
"WK2A3C1","flat",4.125,"WK","MA",12,0.34375
"SD17","flat",45.875,"SD","MA",53,0.865566037735849
"WK26","flat",0.25,"WK","MA",8.875,0.028169014084507
"SD24","flat",11.375,"SD","MA",13.75,0.827272727272727
"SD25E4","flat",38.5,"SD","MA",57.375,0.671023965141612
"SD17E3","flat",24.5,"SD","MA",29.375,0.834042553191489
"WK29E2","flat",2.625,"WK","MA",2.875,0.91304347826087
"SD31E5","flat",6,"SD","MA",7.625,0.786885245901639
"WK34G1","flat",0.75,"WK","MA",1.625,0.461538461538462
"WK77","flat",0.625,"WK","MA",29.25,0.0213675213675214
"SD76","flat",4.5,"SD","MA",12.75,0.352941176470588
"SD78","flat",6.125,"SD","MA",9.875,0.620253164556962
"WK95","flat",0.25,"WK","MA",18.375,0.0136054421768707
"SD22","flat-z",0.5,"SD","MA",16.5,0.0303030303030303
"WK21","flat-z",0,"WK","MA",2.125,0
"WK2A3C1","flat-z",0,"WK","MA",12,0
"SD17","flat-z",1.25,"SD","MA",53,0.0235849056603774
"WK26","flat-z",0,"WK","MA",8.875,0
"SD24","flat-z",0,"SD","MA",13.75,0
"SD25E4","flat-z",4.125,"SD","MA",57.375,0.0718954248366013
"SD17E3","flat-z",1.125,"SD","MA",29.375,0.0382978723404255
"WK29E2","flat-z",0.25,"WK","MA",2.875,0.0869565217391304
"SD31E5","flat-z",0.375,"SD","MA",7.625,0.0491803278688525
"WK34G1","flat-z",0,"WK","MA",1.625,0
"WK77","flat-z",0,"WK","MA",29.25,0
"SD76","flat-z",0.125,"SD","MA",12.75,0.00980392156862745
"SD78","flat-z",0.125,"SD","MA",9.875,0.0126582278481013
"WK95","flat-z",0.125,"WK","MA",18.375,0.00680272108843537
"SD22","flat-mz",0.125,"SD","MA",16.5,0.00757575757575758
"WK21","flat-mz",0,"WK","MA",2.125,0
"WK2A3C1","flat-mz",0,"WK","MA",12,0
"SD17","flat-mz",0.25,"SD","MA",53,0.00471698113207547
"WK26","flat-mz",0,"WK","MA",8.875,0
"SD24","flat-mz",0.25,"SD","MA",13.75,0.0181818181818182
"SD25E4","flat-mz",2.5,"SD","MA",57.375,0.0435729847494553
"SD17E3","flat-mz",0.5,"SD","MA",29.375,0.0170212765957447
"WK29E2","flat-mz",0,"WK","MA",2.875,0
"SD31E5","flat-mz",0.125,"SD","MA",7.625,0.0163934426229508
"WK34G1","flat-mz",0,"WK","MA",1.625,0
"WK77","flat-mz",0,"WK","MA",29.25,0
"SD76","flat-mz",0.125,"SD","MA",12.75,0.00980392156862745
"SD78","flat-mz",0,"SD","MA",9.875,0
"WK95","flat-mz",0,"WK","MA",18.375,0
"SD22","short",2.25,"SD","MA",16.5,0.136363636363636
"WK21","short",1,"WK","MA",2.125,0.470588235294118
"WK2A3C1","short",6.625,"WK","MA",12,0.552083333333333
"SD17","short",5.125,"SD","MA",53,0.0966981132075472
"WK26","short",3.75,"WK","MA",8.875,0.422535211267606
"SD24","short",1.625,"SD","MA",13.75,0.118181818181818
"SD25E4","short",10.25,"SD","MA",57.375,0.178649237472767
"SD17E3","short",2,"SD","MA",29.375,0.0680851063829787
"WK29E2","short",0,"WK","MA",2.875,0
"SD31E5","short",0.875,"SD","MA",7.625,0.114754098360656
"WK34G1","short",0.25,"WK","MA",1.625,0.153846153846154
"WK77","short",11.75,"WK","MA",29.25,0.401709401709402
"SD76","short",5,"SD","MA",12.75,0.392156862745098
"SD78","short",2.625,"SD","MA",9.875,0.265822784810127
"WK95","short",7.625,"WK","MA",18.375,0.414965986394558
"SD22","short-ur",0.75,"SD","MA",16.5,0.0454545454545455
"WK21","short-ur",0,"WK","MA",2.125,0
"WK2A3C1","short-ur",0.5,"WK","MA",12,0.0416666666666667
"SD17","short-ur",0.25,"SD","MA",53,0.00471698113207547
"WK26","short-ur",0,"WK","MA",8.875,0
"SD24","short-ur",0.125,"SD","MA",13.75,0.00909090909090909
"SD25E4","short-ur",1.875,"SD","MA",57.375,0.0326797385620915
"SD17E3","short-ur",1.125,"SD","MA",29.375,0.0382978723404255
"WK29E2","short-ur",0,"WK","MA",2.875,0
"SD31E5","short-ur",0.125,"SD","MA",7.625,0.0163934426229508
"WK34G1","short-ur",0,"WK","MA",1.625,0
"WK77","short-ur",9.875,"WK","MA",29.25,0.337606837606838
"SD76","short-ur",2.125,"SD","MA",12.75,0.166666666666667
"SD78","short-ur",0.5,"SD","MA",9.875,0.0506329113924051
"WK95","short-ur",9.25,"WK","MA",18.375,0.503401360544218
"SD22","short-c",0,"SD","MA",16.5,0
"WK21","short-c",0.125,"WK","MA",2.125,0.0588235294117647
"WK2A3C1","short-c",0.75,"WK","MA",12,0.0625
"SD17","short-c",0.25,"SD","MA",53,0.00471698113207547
"WK26","short-c",4.875,"WK","MA",8.875,0.549295774647887
"SD24","short-c",0.375,"SD","MA",13.75,0.0272727272727273
"SD25E4","short-c",0.125,"SD","MA",57.375,0.00217864923747277
"SD17E3","short-c",0.125,"SD","MA",29.375,0.00425531914893617
"WK29E2","short-c",0,"WK","MA",2.875,0
"SD31E5","short-c",0.125,"SD","MA",7.625,0.0163934426229508
"WK34G1","short-c",0.625,"WK","MA",1.625,0.384615384615385
"WK77","short-c",7,"WK","MA",29.25,0.239316239316239
"SD76","short-c",0.875,"SD","MA",12.75,0.0686274509803922
"SD78","short-c",0.5,"SD","MA",9.875,0.0506329113924051
"WK95","short-c",1.125,"WK","MA",18.375,0.0612244897959184
"SD17","flat",86,"SD","Pup",99,0.868686868686869
"SD17E3","flat",55.5,"SD","Pup",93,0.596774193548387
"SD22","flat",195.5,"SD","Pup",311.5,0.62760834670947
"SD24","flat",3,"SD","Pup",5,0.6
"SD25E4","flat",38,"SD","Pup",91.5,0.415300546448087
"SD31E5","flat",238.5,"SD","Pup",293,0.813993174061433
"SD76","flat",9,"SD","Pup",33,0.272727272727273
"SD78","flat",366.5,"SD","Pup",517,0.70889748549323
"WK21","flat",30.5,"WK","Pup",62,0.491935483870968
"WK26","flat",107,"WK","Pup",187,0.572192513368984
"WK29E2","flat",1,"WK","Pup",1.5,0.666666666666667
"WK2A3C1","flat",262,"WK","Pup",424,0.617924528301887
"WK34G1","flat",44,"WK","Pup",68,0.647058823529412
"WK77","flat",40,"WK","Pup",41.5,0.963855421686747
"WK95","flat",0,"WK","Pup",9,0
"SD17","flat-mz",0,"SD","Pup",99,0
"SD17E3","flat-mz",12,"SD","Pup",93,0.129032258064516
"SD22","flat-mz",51,"SD","Pup",311.5,0.163723916532905
"SD24","flat-mz",0,"SD","Pup",5,0
"SD25E4","flat-mz",12,"SD","Pup",91.5,0.131147540983607
"SD31E5","flat-mz",22,"SD","Pup",293,0.0750853242320819
"SD76","flat-mz",0,"SD","Pup",33,0
"SD78","flat-mz",41,"SD","Pup",517,0.0793036750483559
"WK21","flat-mz",3,"WK","Pup",62,0.0483870967741935
"WK26","flat-mz",1.5,"WK","Pup",187,0.00802139037433155
"WK29E2","flat-mz",0,"WK","Pup",1.5,0
"WK2A3C1","flat-mz",28.5,"WK","Pup",424,0.0672169811320755
"WK34G1","flat-mz",2,"WK","Pup",68,0.0294117647058824
"WK77","flat-mz",0,"WK","Pup",41.5,0
"WK95","flat-mz",0,"WK","Pup",9,0
"SD17","flat-z",2.5,"SD","Pup",99,0.0252525252525253
"SD17E3","flat-z",18.5,"SD","Pup",93,0.198924731182796
"SD22","flat-z",56,"SD","Pup",311.5,0.179775280898876
"SD24","flat-z",0,"SD","Pup",5,0
"SD25E4","flat-z",21,"SD","Pup",91.5,0.229508196721311
"SD31E5","flat-z",22,"SD","Pup",293,0.0750853242320819
"SD76","flat-z",0,"SD","Pup",33,0
"SD78","flat-z",36.5,"SD","Pup",517,0.0705996131528046
"WK21","flat-z",12,"WK","Pup",62,0.193548387096774
"WK26","flat-z",6.5,"WK","Pup",187,0.0347593582887701
"WK29E2","flat-z",0,"WK","Pup",1.5,0
"WK2A3C1","flat-z",79.5,"WK","Pup",424,0.1875
"WK34G1","flat-z",8.5,"WK","Pup",68,0.125
"WK77","flat-z",0.5,"WK","Pup",41.5,0.0120481927710843
"WK95","flat-z",0,"WK","Pup",9,0
"SD17","short",9.5,"SD","Pup",99,0.095959595959596
"SD17E3","short",6,"SD","Pup",93,0.0645161290322581
"SD22","short",9,"SD","Pup",311.5,0.028892455858748
"SD24","short",2,"SD","Pup",5,0.4
"SD25E4","short",16,"SD","Pup",91.5,0.174863387978142
"SD31E5","short",10,"SD","Pup",293,0.0341296928327645
"SD76","short",10.5,"SD","Pup",33,0.318181818181818
"SD78","short",65,"SD","Pup",517,0.125725338491296
"WK21","short",10.5,"WK","Pup",62,0.169354838709677
"WK26","short",44.5,"WK","Pup",187,0.237967914438503
"WK29E2","short",0,"WK","Pup",1.5,0
"WK2A3C1","short",45,"WK","Pup",424,0.106132075471698
"WK34G1","short",7,"WK","Pup",68,0.102941176470588
"WK77","short",1,"WK","Pup",41.5,0.0240963855421687
"WK95","short",3,"WK","Pup",9,0.333333333333333
"SD17","short-c",1,"SD","Pup",99,0.0101010101010101
"SD17E3","short-c",0,"SD","Pup",93,0
"SD22","short-c",0,"SD","Pup",311.5,0
"SD24","short-c",0,"SD","Pup",5,0
"SD25E4","short-c",0.5,"SD","Pup",91.5,0.00546448087431694
"SD31E5","short-c",0.5,"SD","Pup",293,0.00170648464163823
"SD76","short-c",5.5,"SD","Pup",33,0.166666666666667
"SD78","short-c",8,"SD","Pup",517,0.0154738878143133
"WK21","short-c",5,"WK","Pup",62,0.0806451612903226
"WK26","short-c",23.5,"WK","Pup",187,0.125668449197861
"WK29E2","short-c",0.5,"WK","Pup",1.5,0.333333333333333
"WK2A3C1","short-c",7,"WK","Pup",424,0.0165094339622642
"WK34G1","short-c",3,"WK","Pup",68,0.0441176470588235
"WK77","short-c",0,"WK","Pup",41.5,0
"WK95","short-c",3.5,"WK","Pup",9,0.388888888888889
"SD17","short-ur",0,"SD","Pup",99,0
"SD17E3","short-ur",1,"SD","Pup",93,0.010752688172043
"SD22","short-ur",0,"SD","Pup",311.5,0
"SD24","short-ur",0,"SD","Pup",5,0
"SD25E4","short-ur",4,"SD","Pup",91.5,0.0437158469945355
"SD31E5","short-ur",0,"SD","Pup",293,0
"SD76","short-ur",8,"SD","Pup",33,0.242424242424242
"SD78","short-ur",0,"SD","Pup",517,0
"WK21","short-ur",1,"WK","Pup",62,0.0161290322580645
"WK26","short-ur",4,"WK","Pup",187,0.0213903743315508
"WK29E2","short-ur",0,"WK","Pup",1.5,0
"WK2A3C1","short-ur",2,"WK","Pup",424,0.00471698113207547
"WK34G1","short-ur",3.5,"WK","Pup",68,0.0514705882352941
"WK77","short-ur",0,"WK","Pup",41.5,0
"WK95","short-ur",2.5,"WK","Pup",9,0.277777777777778
