"label","time.group","file.name","strain","rat.id","recording","time.count","tot.count.in.time","percent"
"flat","1","T0000100","SD","SD22","MA",95,125,0.76
"flat-mz","1","T0000100","SD","SD22","MA",1,125,0.008
"flat-z","1","T0000100","SD","SD22","MA",3,125,0.024
"short","1","T0000100","SD","SD22","MA",18,125,0.144
"short-ur","1","T0000100","SD","SD22","MA",6,125,0.048
"step down","1","T0000100","SD","SD22","MA",1,125,0.008
"step up","1","T0000100","SD","SD22","MA",0,125,0
"complex","1","T0000100","SD","SD22","MA",0,125,0
"short-c","1","T0000100","SD","SD22","MA",0,125,0
"short-dr","1","T0000100","SD","SD22","MA",0,125,0
"short-su","1","T0000100","SD","SD22","MA",0,125,0
"upward ramp","1","T0000100","SD","SD22","MA",0,125,0
"unclear","1","T0000100","SD","SD22","MA",1,125,0.008
"flat","2","T0000100","SD","SD22","MA",25,31,0.806451612903226
"flat-mz","2","T0000100","SD","SD22","MA",1,31,0.032258064516129
"flat-z","2","T0000100","SD","SD22","MA",3,31,0.0967741935483871
"short","2","T0000100","SD","SD22","MA",0,31,0
"short-ur","2","T0000100","SD","SD22","MA",2,31,0.0645161290322581
"step down","2","T0000100","SD","SD22","MA",0,31,0
"step up","2","T0000100","SD","SD22","MA",0,31,0
"complex","2","T0000100","SD","SD22","MA",0,31,0
"short-c","2","T0000100","SD","SD22","MA",0,31,0
"short-dr","2","T0000100","SD","SD22","MA",0,31,0
"short-su","2","T0000100","SD","SD22","MA",0,31,0
"upward ramp","2","T0000100","SD","SD22","MA",0,31,0
"unclear","2","T0000100","SD","SD22","MA",0,31,0
"flat","3","T0000100","SD","SD22","MA",3,11,0.272727272727273
"flat-mz","3","T0000100","SD","SD22","MA",0,11,0
"flat-z","3","T0000100","SD","SD22","MA",1,11,0.0909090909090909
"short","3","T0000100","SD","SD22","MA",5,11,0.454545454545455
"short-ur","3","T0000100","SD","SD22","MA",2,11,0.181818181818182
"step down","3","T0000100","SD","SD22","MA",0,11,0
"step up","3","T0000100","SD","SD22","MA",0,11,0
"complex","3","T0000100","SD","SD22","MA",0,11,0
"short-c","3","T0000100","SD","SD22","MA",0,11,0
"short-dr","3","T0000100","SD","SD22","MA",0,11,0
"short-su","3","T0000100","SD","SD22","MA",0,11,0
"upward ramp","3","T0000100","SD","SD22","MA",0,11,0
"unclear","3","T0000100","SD","SD22","MA",0,11,0
"flat","1","T0000102","WK","WK21","MA",3,13,0.230769230769231
"flat-mz","1","T0000102","WK","WK21","MA",0,13,0
"flat-z","1","T0000102","WK","WK21","MA",0,13,0
"short","1","T0000102","WK","WK21","MA",7,13,0.538461538461538
"short-ur","1","T0000102","WK","WK21","MA",0,13,0
"step down","1","T0000102","WK","WK21","MA",0,13,0
"step up","1","T0000102","WK","WK21","MA",0,13,0
"complex","1","T0000102","WK","WK21","MA",0,13,0
"short-c","1","T0000102","WK","WK21","MA",1,13,0.0769230769230769
"short-dr","1","T0000102","WK","WK21","MA",1,13,0.0769230769230769
"short-su","1","T0000102","WK","WK21","MA",0,13,0
"upward ramp","1","T0000102","WK","WK21","MA",0,13,0
"unclear","1","T0000102","WK","WK21","MA",1,13,0.0769230769230769
"flat","2","T0000102","WK","WK21","MA",3,4,0.75
"flat-mz","2","T0000102","WK","WK21","MA",0,4,0
"flat-z","2","T0000102","WK","WK21","MA",0,4,0
"short","2","T0000102","WK","WK21","MA",0,4,0
"short-ur","2","T0000102","WK","WK21","MA",0,4,0
"step down","2","T0000102","WK","WK21","MA",0,4,0
"step up","2","T0000102","WK","WK21","MA",0,4,0
"complex","2","T0000102","WK","WK21","MA",0,4,0
"short-c","2","T0000102","WK","WK21","MA",1,4,0.25
"short-dr","2","T0000102","WK","WK21","MA",0,4,0
"short-su","2","T0000102","WK","WK21","MA",0,4,0
"upward ramp","2","T0000102","WK","WK21","MA",0,4,0
"unclear","2","T0000102","WK","WK21","MA",0,4,0
"flat","3","T0000102","WK","WK21","MA",3,7,0.428571428571429
"flat-mz","3","T0000102","WK","WK21","MA",0,7,0
"flat-z","3","T0000102","WK","WK21","MA",0,7,0
"short","3","T0000102","WK","WK21","MA",4,7,0.571428571428571
"short-ur","3","T0000102","WK","WK21","MA",0,7,0
"step down","3","T0000102","WK","WK21","MA",0,7,0
"step up","3","T0000102","WK","WK21","MA",0,7,0
"complex","3","T0000102","WK","WK21","MA",0,7,0
"short-c","3","T0000102","WK","WK21","MA",0,7,0
"short-dr","3","T0000102","WK","WK21","MA",0,7,0
"short-su","3","T0000102","WK","WK21","MA",0,7,0
"upward ramp","3","T0000102","WK","WK21","MA",0,7,0
"unclear","3","T0000102","WK","WK21","MA",0,7,0
"flat","1","T0000109","WK","WK2A3C1","MA",26,75,0.346666666666667
"flat-mz","1","T0000109","WK","WK2A3C1","MA",0,75,0
"flat-z","1","T0000109","WK","WK2A3C1","MA",0,75,0
"short","1","T0000109","WK","WK2A3C1","MA",39,75,0.52
"short-ur","1","T0000109","WK","WK2A3C1","MA",4,75,0.0533333333333333
"step down","1","T0000109","WK","WK2A3C1","MA",0,75,0
"step up","1","T0000109","WK","WK2A3C1","MA",0,75,0
"complex","1","T0000109","WK","WK2A3C1","MA",1,75,0.0133333333333333
"short-c","1","T0000109","WK","WK2A3C1","MA",5,75,0.0666666666666667
"short-dr","1","T0000109","WK","WK2A3C1","MA",0,75,0
"short-su","1","T0000109","WK","WK2A3C1","MA",0,75,0
"upward ramp","1","T0000109","WK","WK2A3C1","MA",0,75,0
"unclear","1","T0000109","WK","WK2A3C1","MA",0,75,0
"flat","2","T0000109","WK","WK2A3C1","MA",1,5,0.2
"flat-mz","2","T0000109","WK","WK2A3C1","MA",0,5,0
"flat-z","2","T0000109","WK","WK2A3C1","MA",0,5,0
"short","2","T0000109","WK","WK2A3C1","MA",3,5,0.6
"short-ur","2","T0000109","WK","WK2A3C1","MA",0,5,0
"step down","2","T0000109","WK","WK2A3C1","MA",0,5,0
"step up","2","T0000109","WK","WK2A3C1","MA",0,5,0
"complex","2","T0000109","WK","WK2A3C1","MA",0,5,0
"short-c","2","T0000109","WK","WK2A3C1","MA",0,5,0
"short-dr","2","T0000109","WK","WK2A3C1","MA",0,5,0
"short-su","2","T0000109","WK","WK2A3C1","MA",1,5,0.2
"upward ramp","2","T0000109","WK","WK2A3C1","MA",0,5,0
"unclear","2","T0000109","WK","WK2A3C1","MA",0,5,0
"flat","3","T0000109","WK","WK2A3C1","MA",30,78,0.384615384615385
"flat-mz","3","T0000109","WK","WK2A3C1","MA",0,78,0
"flat-z","3","T0000109","WK","WK2A3C1","MA",0,78,0
"short","3","T0000109","WK","WK2A3C1","MA",31,78,0.397435897435897
"short-ur","3","T0000109","WK","WK2A3C1","MA",3,78,0.0384615384615385
"step down","3","T0000109","WK","WK2A3C1","MA",1,78,0.0128205128205128
"step up","3","T0000109","WK","WK2A3C1","MA",0,78,0
"complex","3","T0000109","WK","WK2A3C1","MA",2,78,0.0256410256410256
"short-c","3","T0000109","WK","WK2A3C1","MA",0,78,0
"short-dr","3","T0000109","WK","WK2A3C1","MA",1,78,0.0128205128205128
"short-su","3","T0000109","WK","WK2A3C1","MA",0,78,0
"upward ramp","3","T0000109","WK","WK2A3C1","MA",0,78,0
"unclear","3","T0000109","WK","WK2A3C1","MA",10,78,0.128205128205128
"flat","1","T0000111","SD","SD17","MA",295,356,0.828651685393258
"flat-mz","1","T0000111","SD","SD17","MA",1,356,0.00280898876404494
"flat-z","1","T0000111","SD","SD17","MA",9,356,0.0252808988764045
"short","1","T0000111","SD","SD17","MA",32,356,0.0898876404494382
"short-ur","1","T0000111","SD","SD17","MA",1,356,0.00280898876404494
"step down","1","T0000111","SD","SD17","MA",7,356,0.0196629213483146
"step up","1","T0000111","SD","SD17","MA",6,356,0.0168539325842697
"complex","1","T0000111","SD","SD17","MA",2,356,0.00561797752808989
"short-c","1","T0000111","SD","SD17","MA",1,356,0.00280898876404494
"short-dr","1","T0000111","SD","SD17","MA",1,356,0.00280898876404494
"short-su","1","T0000111","SD","SD17","MA",0,356,0
"upward ramp","1","T0000111","SD","SD17","MA",0,356,0
"unclear","1","T0000111","SD","SD17","MA",1,356,0.00280898876404494
"flat","2","T0000111","SD","SD17","MA",38,58,0.655172413793103
"flat-mz","2","T0000111","SD","SD17","MA",0,58,0
"flat-z","2","T0000111","SD","SD17","MA",0,58,0
"short","2","T0000111","SD","SD17","MA",8,58,0.137931034482759
