"categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","rat.id","recording","usv.per"
"flat",2,"T0000083",6,0.333333333333333,"SD","SD22","MomAlone",0.333333333333333
"short",3,"T0000083",6,0.5,"SD","SD22","MomAlone",0.5
"upward ramp",0,"T0000083",6,0,"SD","SD22","MomAlone",0
"step up",0,"T0000083",6,0,"SD","SD22","MomAlone",0
"trill",0,"T0000083",6,0,"SD","SD22","MomAlone",0
"trill-c",0,"T0000083",6,0,"SD","SD22","MomAlone",0
"trill-f",1,"T0000083",6,0.166666666666667,"SD","SD22","MomAlone",0.166666666666667
"unclear",0,"T0000083",6,0,"SD","SD22","MomAlone",0
"flat",0,"T0000084",19,0,"SD","SD22","PupsSep",0
"short",14,"T0000084",19,0.736842105263158,"SD","SD22","PupsSep",0.823529411764706
"upward ramp",0,"T0000084",19,0,"SD","SD22","PupsSep",0
"step up",0,"T0000084",19,0,"SD","SD22","PupsSep",0
"trill",0,"T0000084",19,0,"SD","SD22","PupsSep",0
"trill-c",0,"T0000084",19,0,"SD","SD22","PupsSep",0
"trill-f",0,"T0000084",19,0,"SD","SD22","PupsSep",0
"unclear",3,"T0000084",19,0.157894736842105,"SD","SD22","PupsSep",0.176470588235294
"flat",0,"T0000089",8,0,"WK","WK21","MomAlone",0
"short",5,"T0000089",8,0.625,"WK","WK21","MomAlone",0.714285714285714
"upward ramp",0,"T0000089",8,0,"WK","WK21","MomAlone",0
"step up",0,"T0000089",8,0,"WK","WK21","MomAlone",0
"trill",0,"T0000089",8,0,"WK","WK21","MomAlone",0
"trill-c",0,"T0000089",8,0,"WK","WK21","MomAlone",0
"trill-f",0,"T0000089",8,0,"WK","WK21","MomAlone",0
"unclear",2,"T0000089",8,0.25,"WK","WK21","MomAlone",0.285714285714286
"flat",0,"T0000090",4,0,"WK","WK21","PupsSep",0
"short",4,"T0000090",4,1,"WK","WK21","PupsSep",1
"upward ramp",0,"T0000090",4,0,"WK","WK21","PupsSep",0
