"strain","label","rat.id","mean.freq","sem","count"
"SD","flat","SD17E3",39163.0644155018,NA,1
"SD","flat","SD31E5",60584.9103099287,610.86181331875,71
"SD","flat","SD76",41232.0137339425,3138.30803790141,6
"SD","flat","SD78",41037.5089845613,1877.47442901279,19
"SD","short","SD17",40169.8120354285,NA,1
"SD","short","SD22",30200,NA,1
"SD","short","SD31E5",63096.2920328451,2390.30057165753,2
"SD","short","SD76",45516.1171614803,3106.18713669233,4
"SD","short","SD78",43761.1544950596,2386.40610540177,12
"SD","step up","SD78",34850.6765243082,NA,1
"SD","trill","SD78",55684.3264095138,1111.93561123526,8
"SD","trill-c","SD78",55301.2464149475,3948.31581254545,4
"SD","trill-f","SD78",54253.6248063821,3096.09729231697,3
"SD","upward ramp","SD78",50371.5701671981,NA,1
"WK","flat","WK26",47964.2390649497,394.288201390532,48
"WK","flat","WK2A3C1",44351.9477238769,1985.53170528019,13
"WK","flat","WK77",50907.0573686851,NA,1
"WK","flat","WK95",60073.5234835701,3153.04736146401,8
"WK","short","WK26",48866.3473415726,965.58802368473,14
"WK","short","WK2A3C1",46722.8508918161,3275.17470031789,10
"WK","short","WK95",55132.4017879017,2796.12935907724,10
"WK","step up","WK26",51680.6356661603,1665.36980709435,7
"WK","step up","WK2A3C1",58843.97902861,5428.44723521176,3
"WK","trill","WK26",58784.5406396932,2388.99771328501,5
"WK","trill","WK34G1",71435.7594480574,2072.63368893232,3
"WK","trill-c","WK26",54664.5238394934,483.594065090181,44
"WK","trill-c","WK95",56346.4592848941,610.043601199189,5
"WK","trill-f","WK26",47008.8301752156,912.008099722627,4
"WK","trill-f","WK2A3C1",41246.2849879037,1649.29762067537,2
"WK","trill-f","WK95",49658,958,2
"WK","unclear","WK26",47925.3307445786,2960.83453673158,9
"WK","unclear","WK95",59130.0685658978,12787.0271281641,2
"WK","upward ramp","WK26",52355.4187679308,1790.58123206925,2
"WK","upward ramp","WK2A3C1",53612.459992605,2661.3997407862,7
