"file.name","behavior","label","strain","rat.id","recording","usv.count","total","percent"
"T0000085","Retrieval","complex","SD","SD22","MBT",11,1874,0.00586979722518677
"T0000091","Retrieval","complex","WK","WK21","MBT",4,284,0.0140845070422535
"T0000096","Retrieval","complex","WK","WK2A3C1","MBT",6,156,0.0384615384615385
"T0000105","Retrieval","complex","SD","SD17","MBT",42,614,0.0684039087947883
"T0000124","Retrieval","complex","WK","WK26","MBT",32,117,0.273504273504274
"T0000141","Retrieval","complex","SD","SD24","MBT",5,414,0.0120772946859903
"T0000152","Retrieval","complex","SD","SD25E4","MBT",19,1035,0.0183574879227053
"T0000155","Retrieval","complex","SD","SD17E3","MBT",17,946,0.0179704016913319
"T0000185","Retrieval","complex","WK","WK29E2","MBT",7,269,0.0260223048327138
"T0000190","Retrieval","complex","WK","WK34G1","MBT",17,373,0.0455764075067024
"T0000195","Retrieval","complex","SD","SD31E5","MBT",6,217,0.0276497695852535
"T0000228","Retrieval","complex","WK","WK77","MBT",32,237,0.135021097046413
"T0000242","Retrieval","complex","SD","SD76","MBT",3,420,0.00714285714285714
"T0000254","Retrieval","complex","SD","SD78","MBT",1,360,0.00277777777777778
"T0000303","Retrieval","complex","WK","WK95","MBT",8,147,0.054421768707483
"T0000085","Hover","complex","SD","SD22","MBT",30,1319,0.0227445034116755
"T0000091","Hover","complex","WK","WK21","MBT",7,118,0.0593220338983051
"T0000096","Hover","complex","WK","WK2A3C1","MBT",3,18,0.166666666666667
"T0000105","Hover","complex","SD","SD17","MBT",10,317,0.0315457413249211
"T0000124","Hover","complex","WK","WK26","MBT",35,357,0.0980392156862745
"T0000141","Hover","complex","SD","SD24","MBT",7,140,0.05
"T0000152","Hover","complex","SD","SD25E4","MBT",3,381,0.0078740157480315
"T0000155","Hover","complex","SD","SD17E3","MBT",9,624,0.0144230769230769
"T0000185","Hover","complex","WK","WK29E2","MBT",1,40,0.025
"T0000190","Hover","complex","WK","WK34G1","MBT",9,84,0.107142857142857
"T0000195","Hover","complex","SD","SD31E5","MBT",10,158,0.0632911392405063
"T0000228","Hover","complex","WK","WK77","MBT",4,64,0.0625
"T0000242","Hover","complex","SD","SD76","MBT",2,284,0.00704225352112676
"T0000254","Hover","complex","SD","SD78","MBT",2,169,0.0118343195266272
"T0000303","Hover","complex","WK","WK95","MBT",2,62,0.032258064516129
"T0000085","LKP","complex","SD","SD22","MBT",0,80,0
"T0000091","LKP","complex","WK","WK21","MBT",6,102,0.0588235294117647
"T0000096","LKP","complex","WK","WK2A3C1","MBT",0,16,0
