"file.name","rat.id","strain","behavior","label","m.dur"
"T0000085","SD22","SD","Hover","complex",0.0726857142857143
"T0000085","SD22","SD","Hover","downward ramp",0.0179
"T0000085","SD22","SD","Hover","flat",0.0492560178306092
"T0000085","SD22","SD","Hover","flat-mz",0.0955066666666667
"T0000085","SD22","SD","Hover","flat-z",0.0625608695652174
"T0000085","SD22","SD","Hover","inverted-u",0.01915
"T0000085","SD22","SD","Hover","short",0.00753153846153846
"T0000085","SD22","SD","Hover","step down",0.068675
"T0000085","SD22","SD","Hover","step up",0.07395
"T0000085","SD22","SD","Hover","trill",0.0337
"T0000085","SD22","SD","Hover","upward ramp",0.02432
"T0000085","SD22","SD","LKP","flat",0.0535111111111111
"T0000085","SD22","SD","LKP","flat-mz",0.1107
"T0000085","SD22","SD","LKP","flat-z",0.0759
"T0000085","SD22","SD","LKP","short",0.00995
"T0000085","SD22","SD","LKP","upward ramp",0.023
"T0000085","SD22","SD","Retrieval","complex",0.06906
"T0000085","SD22","SD","Retrieval","flat",0.0679608548931384
"T0000085","SD22","SD","Retrieval","flat-mz",0.109642105263158
"T0000085","SD22","SD","Retrieval","flat-z",0.0765366197183099
"T0000085","SD22","SD","Retrieval","inverted-u",0.0133
"T0000085","SD22","SD","Retrieval","short",0.00747796610169492
"T0000085","SD22","SD","Retrieval","step down",0.10308
"T0000085","SD22","SD","Retrieval","step up",0.08337
"T0000091","WK21","WK","Hover","complex",0.0662857142857143
"T0000091","WK21","WK","Hover","flat",0.0538173076923077
"T0000091","WK21","WK","Hover","flat-mz",0.1003
"T0000091","WK21","WK","Hover","flat-z",0.0881571428571429
"T0000091","WK21","WK","Hover","inverted-u",0.03735
"T0000091","WK21","WK","Hover","short",0.00641818181818182
"T0000091","WK21","WK","Hover","step up",0.063425
"T0000091","WK21","WK","Hover","trill",0.0384
"T0000091","WK21","WK","Hover","trill-c",0.0414
"T0000091","WK21","WK","LKP","complex",0.0703
"T0000091","WK21","WK","LKP","flat",0.0372888888888889
"T0000091","WK21","WK","LKP","flat-mz",0.1034
"T0000091","WK21","WK","LKP","flat-z",0.0726125
"T0000091","WK21","WK","LKP","inverted-u",0.0322
"T0000091","WK21","WK","LKP","short",0.00641538461538462
"T0000091","WK21","WK","LKP","step down",0.109
"T0000091","WK21","WK","LKP","step up",0.0468666666666667
"T0000091","WK21","WK","LKP","trill",0.0356333333333333
"T0000091","WK21","WK","LKP","trill-c",0.0865
"T0000091","WK21","WK","Retrieval","complex",0.061525
"T0000091","WK21","WK","Retrieval","flat",0.0566916666666667
"T0000091","WK21","WK","Retrieval","flat-mz",0.106844444444444
"T0000091","WK21","WK","Retrieval","flat-z",0.073675
"T0000091","WK21","WK","Retrieval","inverted-u",0.036325
"T0000091","WK21","WK","Retrieval","short",0.00629347826086957
"T0000091","WK21","WK","Retrieval","step down",0.0271
"T0000091","WK21","WK","Retrieval","step up",0.0378333333333333
"T0000091","WK21","WK","Retrieval","trill",0.0376348837209302
"T0000091","WK21","WK","Retrieval","trill-c",0.0596111111111111
"T0000091","WK21","WK","Retrieval","upward ramp",0.0189
"T0000096","WK2A3C1","WK","Hover","complex",0.0463666666666667
"T0000096","WK2A3C1","WK","Hover","downward ramp",0.0624
"T0000096","WK2A3C1","WK","Hover","flat",0.0374857142857143
"T0000096","WK2A3C1","WK","Hover","flat-z",0.1648
"T0000096","WK2A3C1","WK","Hover","inverted-u",0.0302
"T0000096","WK2A3C1","WK","Hover","short",0.00576
"T0000096","WK2A3C1","WK","LKP","downward ramp",0.0122
"T0000096","WK2A3C1","WK","LKP","flat",0.0189
"T0000096","WK2A3C1","WK","LKP","short",0.00689230769230769
"T0000096","WK2A3C1","WK","Retrieval","complex",0.0789
"T0000096","WK2A3C1","WK","Retrieval","downward ramp",0.03885
"T0000096","WK2A3C1","WK","Retrieval","flat",0.0320086956521739
"T0000096","WK2A3C1","WK","Retrieval","flat-z",0.0594478260869565
"T0000096","WK2A3C1","WK","Retrieval","short",0.00548695652173913
"T0000096","WK2A3C1","WK","Retrieval","step up",0.0143
"T0000096","WK2A3C1","WK","Retrieval","trill",0.0399659574468085
"T0000096","WK2A3C1","WK","Retrieval","trill-c",0.0473
"T0000096","WK2A3C1","WK","Retrieval","upward ramp",0.0168
"T0000105","SD17","SD","Hover","complex",0.08229
"T0000105","SD17","SD","Hover","downward ramp",0.0819
"T0000105","SD17","SD","Hover","flat",0.0497477611940298
"T0000105","SD17","SD","Hover","flat-mz",0.3025
"T0000105","SD17","SD","Hover","flat-z",0.05844
"T0000105","SD17","SD","Hover","inverted-u",0.0158
"T0000105","SD17","SD","Hover","short",0.00660888888888889
"T0000105","SD17","SD","Hover","step down",0.0438833333333333
"T0000105","SD17","SD","Hover","step up",0.1484
"T0000105","SD17","SD","Hover","upward ramp",0.0237142857142857
"T0000105","SD17","SD","LKP","complex",0.06881
"T0000105","SD17","SD","LKP","downward ramp",0.02268
"T0000105","SD17","SD","LKP","flat",0.0440057692307692
"T0000105","SD17","SD","LKP","flat-mz",0.074
"T0000105","SD17","SD","LKP","flat-z",0.024275
"T0000105","SD17","SD","LKP","inverted-u",0.01679
"T0000105","SD17","SD","LKP","short",0.007275
"T0000105","SD17","SD","LKP","step down",0.0270888888888889
"T0000105","SD17","SD","LKP","step up",0.0337666666666667
"T0000105","SD17","SD","LKP","upward ramp",0.0241714285714286
"T0000105","SD17","SD","Retrieval","complex",0.0897111111111111
"T0000105","SD17","SD","Retrieval","downward ramp",0.0818666666666667
"T0000105","SD17","SD","Retrieval","flat",0.100906030150754
"T0000105","SD17","SD","Retrieval","flat-mz",0.192907547169811
