"file.name","rat.id","strain","behavior","label","mean.freq"
"T0000085","SD22","SD","Hover","complex",53782.2052634244
"T0000085","SD22","SD","Hover","downward ramp",54231.0290321482
"T0000085","SD22","SD","Hover","flat",48941.1579168902
"T0000085","SD22","SD","Hover","flat-mz",47208.8563883141
"T0000085","SD22","SD","Hover","flat-z",47852.5767996825
"T0000085","SD22","SD","Hover","inverted-u",55973.2961717714
"T0000085","SD22","SD","Hover","short",52429.0319852295
"T0000085","SD22","SD","Hover","step down",52461.3011423433
"T0000085","SD22","SD","Hover","trill",54203.5847483851
"T0000085","SD22","SD","Hover","upward ramp",58012.7557419999
"T0000085","SD22","SD","LKP","flat",51827.6266562054
"T0000085","SD22","SD","LKP","flat-mz",44980.6309093083
"T0000085","SD22","SD","LKP","flat-z",47531.4436075021
"T0000085","SD22","SD","LKP","short",52303.8275043266
"T0000085","SD22","SD","Retrieval","complex",49977.6136536061
"T0000085","SD22","SD","Retrieval","flat",45612.9928227968
"T0000085","SD22","SD","Retrieval","flat-mz",45056.8766137822
"T0000085","SD22","SD","Retrieval","flat-z",45995.205780246
"T0000085","SD22","SD","Retrieval","inverted-u",52365.1697970815
"T0000085","SD22","SD","Retrieval","short",50699.6494142252
"T0000085","SD22","SD","Retrieval","step down",48406.0609506858
"T0000085","SD22","SD","Retrieval","step up",48163.9780183099
"T0000091","WK21","WK","Hover","complex",59400.7721482631
"T0000091","WK21","WK","Hover","flat",54086.444787743
"T0000091","WK21","WK","Hover","flat-mz",46327.0983955634
"T0000091","WK21","WK","Hover","flat-z",53115.9236013327
"T0000091","WK21","WK","Hover","inverted-u",55300.581920172
"T0000091","WK21","WK","Hover","short",69515.4117594323
"T0000091","WK21","WK","Hover","step up",56410.6396107565
"T0000091","WK21","WK","Hover","trill-c",53532.6649260369
"T0000091","WK21","WK","LKP","complex",51562.3116445237
"T0000091","WK21","WK","LKP","flat",50379.5176655734
"T0000091","WK21","WK","LKP","flat-mz",50476
"T0000091","WK21","WK","LKP","flat-z",49060.8846383685
"T0000091","WK21","WK","LKP","inverted-u",54670
"T0000091","WK21","WK","LKP","short",71561.586101331
"T0000091","WK21","WK","LKP","step down",50525.45990758
"T0000091","WK21","WK","LKP","step up",52657.8242226623
"T0000091","WK21","WK","LKP","trill",61032.3345932779
"T0000091","WK21","WK","Retrieval","complex",51665.3032707222
"T0000091","WK21","WK","Retrieval","flat",55666.7881297861
"T0000091","WK21","WK","Retrieval","flat-mz",48623.3098325719
"T0000091","WK21","WK","Retrieval","flat-z",58898.4458869539
"T0000091","WK21","WK","Retrieval","inverted-u",53896.8435090452
"T0000091","WK21","WK","Retrieval","short",65015.395372153
"T0000091","WK21","WK","Retrieval","step up",53601.8944891446
"T0000091","WK21","WK","Retrieval","trill-c",59885.9030095517
"T0000091","WK21","WK","Retrieval","upward ramp",60066.2074714484
"T0000096","WK2A3C1","WK","Hover","flat-z",48897.018194617
"T0000096","WK2A3C1","WK","Hover","inverted-u",61131.036773983
"T0000096","WK2A3C1","WK","Hover","short",67025.7486524417
"T0000096","WK2A3C1","WK","LKP","downward ramp",60258.3374638039
"T0000096","WK2A3C1","WK","LKP","short",53908.7924941807
"T0000096","WK2A3C1","WK","Retrieval","complex",59964.5262185971
"T0000096","WK2A3C1","WK","Retrieval","downward ramp",54279.6123356174
"T0000096","WK2A3C1","WK","Retrieval","flat",53337.6851379706
"T0000096","WK2A3C1","WK","Retrieval","flat-z",53191.1841567336
"T0000096","WK2A3C1","WK","Retrieval","short",59259.6822494583
"T0000096","WK2A3C1","WK","Retrieval","step up",54707.925261478
"T0000096","WK2A3C1","WK","Retrieval","trill",64280.2043151514
"T0000096","WK2A3C1","WK","Retrieval","trill-c",61854.2438118121
"T0000096","WK2A3C1","WK","Retrieval","upward ramp",69616.1621530106
"T0000105","SD17","SD","Hover","complex",47791.9343867012
"T0000105","SD17","SD","Hover","downward ramp",37248.301328206
"T0000105","SD17","SD","Hover","flat",46057.5430332835
"T0000105","SD17","SD","Hover","flat-mz",37480.1311687292
"T0000105","SD17","SD","Hover","flat-z",42196.9298992784
"T0000105","SD17","SD","Hover","inverted-u",47765.3443075665
"T0000105","SD17","SD","Hover","short",54048.8814284108
"T0000105","SD17","SD","Hover","step down",55562.9731131863
"T0000105","SD17","SD","Hover","step up",41334.3343527114
"T0000105","SD17","SD","Hover","upward ramp",57345.1738872526
"T0000105","SD17","SD","LKP","complex",45931.9718242395
"T0000105","SD17","SD","LKP","downward ramp",46399.8333033837
"T0000105","SD17","SD","LKP","flat",47894.1581182797
"T0000105","SD17","SD","LKP","flat-mz",43438.3881261297
"T0000105","SD17","SD","LKP","flat-z",59287.3242093607
"T0000105","SD17","SD","LKP","inverted-u",66055.3344893188
"T0000105","SD17","SD","LKP","short",62134.0316205741
"T0000105","SD17","SD","LKP","step down",52004.6189391364
"T0000105","SD17","SD","LKP","step up",51602.838132784
"T0000105","SD17","SD","LKP","upward ramp",50609.6400275577
"T0000105","SD17","SD","Retrieval","complex",41606.2342492805
"T0000105","SD17","SD","Retrieval","downward ramp",42840.8665758468
"T0000105","SD17","SD","Retrieval","flat",38554.944903403
"T0000105","SD17","SD","Retrieval","flat-mz",36894.5931207389
"T0000105","SD17","SD","Retrieval","flat-z",40102.104326446
"T0000105","SD17","SD","Retrieval","inverted-u",42882
"T0000105","SD17","SD","Retrieval","short",45759.1523087977
"T0000105","SD17","SD","Retrieval","step down",45577.849316759
"T0000105","SD17","SD","Retrieval","step up",36253.6042098208
"T0000105","SD17","SD","Retrieval","trill",63728.6435029389
"T0000105","SD17","SD","Retrieval","trill-c",53796.2146430903
"T0000124","WK26","WK","Hover","complex",56816.8898789566
"T0000124","WK26","WK","Hover","downward ramp",52902.2971442272
"T0000124","WK26","WK","Hover","flat",53227.2365924376
"T0000124","WK26","WK","Hover","flat-mz",48207.4211771551
"T0000124","WK26","WK","Hover","flat-z",51559.1214322689
"T0000124","WK26","WK","Hover","inverted-u",66353.3679980421
"T0000124","WK26","WK","Hover","short",65868.6533485918
"T0000124","WK26","WK","Hover","step down",59057.0141739647
"T0000124","WK26","WK","Hover","step up",53926.437594108
"T0000124","WK26","WK","Hover","trill",50693.5846551649
"T0000124","WK26","WK","Hover","upward ramp",70486.0386391486
"T0000124","WK26","WK","LKP","complex",58492.2513547214
"T0000124","WK26","WK","LKP","flat",72410.6116633291
"T0000124","WK26","WK","LKP","short",60816.7432006518
