"categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","rat.id","recording","usv.per"
"flat",2427,"T0000085",3307,0.733897792561234,"SD","SD22","MBT",0.745164261590421
"flat-z",393,"T0000085",3307,0.118838826731176,"SD","SD22","MBT",0.120663186981885
"flat-mz",118,"T0000085",3307,0.0356818869065618,"SD","SD22","MBT",0.0362296591955788
"short",244,"T0000085",3307,0.0737828847898397,"SD","SD22","MBT",0.0749155664722137
"short-ur",7,"T0000085",3307,0.00211672210462655,"SD","SD22","MBT",0.00214921707092416
"short-c",4,"T0000085",3307,0.00120955548835803,"SD","SD22","MBT",0.00122812404052809
"complex",41,"T0000085",3307,0.0123979437556698,"SD","SD22","MBT",0.012588271415413
"step up",16,"T0000085",3307,0.00483822195343211,"SD","SD22","MBT",0.00491249616211237
"trill",1,"T0000085",3307,0.000302388872089507,"SD","SD22","MBT",0.000307031010132023
"trill-c",0,"T0000085",3307,0,"SD","SD22","MBT",0
"inverted-u",6,"T0000085",3307,0.00181433323253704,"SD","SD22","MBT",0.00184218606079214
"flat",265,"T0000091",650,0.407692307692308,"WK","WK21","MBT",0.430894308943089
"flat-z",23,"T0000091",650,0.0353846153846154,"WK","WK21","MBT",0.0373983739837398
"flat-mz",12,"T0000091",650,0.0184615384615385,"WK","WK21","MBT",0.0195121951219512
"short",157,"T0000091",650,0.241538461538462,"WK","WK21","MBT",0.255284552845528
"short-ur",11,"T0000091",650,0.0169230769230769,"WK","WK21","MBT",0.0178861788617886
"short-c",20,"T0000091",650,0.0307692307692308,"WK","WK21","MBT",0.032520325203252
"complex",18,"T0000091",650,0.0276923076923077,"WK","WK21","MBT",0.0292682926829268
"step up",14,"T0000091",650,0.0215384615384615,"WK","WK21","MBT",0.0227642276422764
"trill",65,"T0000091",650,0.1,"WK","WK21","MBT",0.105691056910569
"trill-c",22,"T0000091",650,0.0338461538461538,"WK","WK21","MBT",0.0357723577235772
"inverted-u",8,"T0000091",650,0.0123076923076923,"WK","WK21","MBT",0.0130081300813008
"flat",84,"T0000096",343,0.244897959183673,"WK","WK2A3C1","MBT",0.270096463022508
"flat-z",50,"T0000096",343,0.145772594752187,"WK","WK2A3C1","MBT",0.160771704180064
"flat-mz",2,"T0000096",343,0.00583090379008746,"WK","WK2A3C1","MBT",0.00643086816720257
"short",82,"T0000096",343,0.239067055393586,"WK","WK2A3C1","MBT",0.263665594855305
"short-ur",1,"T0000096",343,0.00291545189504373,"WK","WK2A3C1","MBT",0.00321543408360129
"short-c",5,"T0000096",343,0.0145772594752187,"WK","WK2A3C1","MBT",0.0160771704180064
"complex",13,"T0000096",343,0.0379008746355685,"WK","WK2A3C1","MBT",0.0418006430868167
"step up",2,"T0000096",343,0.00583090379008746,"WK","WK2A3C1","MBT",0.00643086816720257
