"strain","label","recording","file.name","rat.id","mean.dur","sem","count"
"SD","complex","MBT","T0000085","SD22",0.0719884615384615,0.00762783430686704,26
"SD","complex","MBT","T0000105","SD17",0.0915125,0.00963532794189551,48
"SD","complex","MBT","T0000141","SD24",0.0908777777777778,0.0170796563341839,9
"SD","complex","MBT","T0000152","SD25E4",0.04703,0.0046867961225913,20
"SD","complex","MBT","T0000155","SD17E3",0.0884428571428571,0.0199820890888251,21
"SD","complex","MBT","T0000195","SD31E5",0.06815,0.00449345820795817,10
"SD","complex","MBT","T0000242","SD76",0.0432307692307692,0.00416645124492431,26
"SD","complex","MBT","T0000254","SD78",0.0601,0.0150449327017438,4
"SD","flat","MBT","T0000085","SD22",0.0597395768512757,0.000912192273510314,1607
"SD","flat","MBT","T0000105","SD17",0.0685934426229508,0.00217539631192241,671
"SD","flat","MBT","T0000141","SD24",0.0784385135135135,0.00347231188842582,296
"SD","flat","MBT","T0000152","SD25E4",0.054696547314578,0.00157656793169237,782
"SD","flat","MBT","T0000155","SD17E3",0.066078566256336,0.00105154802971752,1381
"SD","flat","MBT","T0000195","SD31E5",0.0732042105263158,0.00356179667292447,285
"SD","flat","MBT","T0000242","SD76",0.0586671232876712,0.00207994801582924,438
"SD","flat","MBT","T0000254","SD78",0.0652259946949602,0.00259215308453479,377
"SD","flat-mz","MBT","T0000085","SD22",0.103714084507042,0.00605885994939783,71
"SD","flat-mz","MBT","T0000105","SD17",0.189274626865672,0.0112171186579826,67
"SD","flat-mz","MBT","T0000141","SD24",0.152280263157895,0.0107573287983713,76
"SD","flat-mz","MBT","T0000152","SD25E4",0.120460714285714,0.0119494607472645,28
"SD","flat-mz","MBT","T0000155","SD17E3",0.0941713178294574,0.00368705164036117,129
"SD","flat-mz","MBT","T0000195","SD31E5",0.115240909090909,0.0130227683717611,22
"SD","flat-mz","MBT","T0000242","SD76",0.0948866666666667,0.00881701037941157,30
"SD","flat-mz","MBT","T0000254","SD78",0.134079411764706,0.0130105981613892,34
"SD","flat-z","MBT","T0000085","SD22",0.071206374501992,0.00204450136061547,251
"SD","flat-z","MBT","T0000105","SD17",0.130602173913043,0.0156000298801678,46
