"strain","label","recording","file.name","rat.id","mean.freq","sem","count"
"SD","complex","MBT","T0000085","SD22",53090.4613343665,1102.73273575872,11
"SD","complex","MBT","T0000105","SD17",44462.9226474731,883.999794133921,46
"SD","complex","MBT","T0000141","SD24",51438.5459154186,1860.36128856726,9
"SD","complex","MBT","T0000152","SD25E4",48166.2791975401,1656.11033791783,16
"SD","complex","MBT","T0000155","SD17E3",45597.6840703678,1116.36955045037,12
"SD","complex","MBT","T0000195","SD31E5",49706.6029933124,1378.21257845915,8
"SD","complex","MBT","T0000242","SD76",54341.579325728,1224.62253373469,21
"SD","complex","MBT","T0000254","SD78",49984.8668326956,1296.64570286007,3
"SD","flat","MBT","T0000085","SD22",47369.2732487362,235.454020297594,716
"SD","flat","MBT","T0000105","SD17",42679.9678001975,315.857095034044,603
"SD","flat","MBT","T0000141","SD24",41006.1416043847,343.568904750821,274
"SD","flat","MBT","T0000152","SD25E4",44699.1917583352,287.503465634285,586
"SD","flat","MBT","T0000155","SD17E3",39672.1182043757,167.232488277012,999
"SD","flat","MBT","T0000195","SD31E5",44688.2213755693,394.052298974536,167
"SD","flat","MBT","T0000242","SD76",45320.2647743574,521.140200522705,248
"SD","flat","MBT","T0000254","SD78",44432.6136958318,620.076967960139,222
"SD","flat-mz","MBT","T0000085","SD22",45861.1459683576,338.120848936468,56
"SD","flat-mz","MBT","T0000105","SD17",37448.2181979633,362.349233200633,67
"SD","flat-mz","MBT","T0000141","SD24",41645.3390517581,498.112794170225,73
"SD","flat-mz","MBT","T0000152","SD25E4",40983.2323858678,424.303514418413,26
"SD","flat-mz","MBT","T0000155","SD17E3",39192.4200319989,189.125216555017,124
"SD","flat-mz","MBT","T0000195","SD31E5",43032.6935019254,504.384139439875,16
"SD","flat-mz","MBT","T0000242","SD76",42489.2103386371,274.467816039817,25
"SD","flat-mz","MBT","T0000254","SD78",41441.6361441313,431.786302415894,30
"SD","flat-z","MBT","T0000085","SD22",46864.0671829348,276.364979843418,125
"SD","flat-z","MBT","T0000105","SD17",43161.46243728,1384.34989305875,44
"SD","flat-z","MBT","T0000141","SD24",42505.7733391936,710.467970834928,62
"SD","flat-z","MBT","T0000152","SD25E4",41754.6581137941,317.280946614881,75
"SD","flat-z","MBT","T0000155","SD17E3",39463.2014646777,180.217744588772,135
"SD","flat-z","MBT","T0000195","SD31E5",43856.1716659358,394.574898738916,27
"SD","flat-z","MBT","T0000242","SD76",42533.9767253393,348.976506395602,35
"SD","flat-z","MBT","T0000254","SD78",43704.8299949746,2266.18744740791,19
"SD","inverted-u","MBT","T0000085","SD22",54169.2329844265,1804.06318734496,2
"SD","inverted-u","MBT","T0000105","SD17",59185.5016851764,3914.34015906829,12
"SD","inverted-u","MBT","T0000141","SD24",49708.5881198118,1772.39864356079,6
"SD","inverted-u","MBT","T0000152","SD25E4",54748.0093480252,2547.29352634851,20
"SD","inverted-u","MBT","T0000155","SD17E3",58148.2730047601,5890.71617710753,3
"SD","inverted-u","MBT","T0000195","SD31E5",62070.225040209,8335.41435874786,4
"SD","inverted-u","MBT","T0000242","SD76",63816.473258399,6119.24368398091,7
"SD","inverted-u","MBT","T0000254","SD78",56264.2750943963,1867.93445253048,5
"SD","short","MBT","T0000085","SD22",51743.4950704418,830.644491807138,71
"SD","short","MBT","T0000105","SD17",54453.7283054114,1035.54117156966,149
