"strain","rat.id","label","recording","usv.count","total","percent"
"SD","SD17","complex","mbt.count",71,1216,0.0583881578947368
"SD","SD17","flat","mbt.count",819,1216,0.673519736842105
"SD","SD17","flat-mz","mbt.count",81,1216,0.0666118421052632
"SD","SD17","flat-z","mbt.count",66,1216,0.0542763157894737
"SD","SD17","inverted-u","mbt.count",7,1216,0.00575657894736842
"SD","SD17","short","mbt.count",123,1216,0.101151315789474
"SD","SD17","short-c","mbt.count",4,1216,0.00328947368421053
"SD","SD17","short-ur","mbt.count",2,1216,0.00164473684210526
"SD","SD17","step down","mbt.count",25,1216,0.0205592105263158
"SD","SD17","step up","mbt.count",11,1216,0.00904605263157895
"SD","SD17","trill","mbt.count",6,1216,0.00493421052631579
"SD","SD17","trill-c","mbt.count",1,1216,0.000822368421052632
"SD","SD17E3","complex","mbt.count",21,1664,0.0126201923076923
"SD","SD17E3","flat","mbt.count",1213,1664,0.728966346153846
"SD","SD17E3","flat-mz","mbt.count",111,1664,0.0667067307692308
"SD","SD17E3","flat-z","mbt.count",145,1664,0.0871394230769231
"SD","SD17E3","inverted-u","mbt.count",4,1664,0.00240384615384615
"SD","SD17E3","short","mbt.count",115,1664,0.0691105769230769
"SD","SD17E3","short-c","mbt.count",7,1664,0.00420673076923077
"SD","SD17E3","short-ur","mbt.count",17,1664,0.0102163461538462
"SD","SD17E3","step down","mbt.count",20,1664,0.0120192307692308
"SD","SD17E3","step up","mbt.count",10,1664,0.00600961538461538
"SD","SD17E3","trill","mbt.count",1,1664,0.000600961538461538
"SD","SD22","complex","mbt.count",27,2637,0.0102389078498294
"SD","SD22","flat","mbt.count",1977,2637,0.74971558589306
"SD","SD22","flat-mz","mbt.count",101,2637,0.0383010997345468
"SD","SD22","flat-z","mbt.count",325,2637,0.123246113007205
"SD","SD22","inverted-u","mbt.count",5,2637,0.00189609404626469
"SD","SD22","short","mbt.count",169,2637,0.0640879787637467
"SD","SD22","short-c","mbt.count",2,2637,0.000758437618505878
"SD","SD22","short-ur","mbt.count",3,2637,0.00113765642775882
"SD","SD22","step down","mbt.count",14,2637,0.00530906332954115
"SD","SD22","step up","mbt.count",13,2637,0.00492984452028821
"SD","SD22","trill","mbt.count",1,2637,0.000379218809252939
"SD","SD24","complex","mbt.count",12,558,0.021505376344086
"SD","SD24","flat","mbt.count",346,558,0.620071684587814
"SD","SD24","flat-mz","mbt.count",91,558,0.163082437275986
"SD","SD24","flat-z","mbt.count",62,558,0.111111111111111
"SD","SD24","inverted-u","mbt.count",6,558,0.010752688172043
"SD","SD24","short","mbt.count",30,558,0.0537634408602151
"SD","SD24","short-c","mbt.count",1,558,0.0017921146953405
"SD","SD24","short-ur","mbt.count",4,558,0.00716845878136201
"SD","SD24","step down","mbt.count",4,558,0.00716845878136201
"SD","SD24","step up","mbt.count",2,558,0.003584229390681
"SD","SD25E4","complex","mbt.count",24,1182,0.0203045685279188
"SD","SD25E4","flat","mbt.count",734,1182,0.620981387478849
"SD","SD25E4","flat-mz","mbt.count",29,1182,0.0245346869712352
"SD","SD25E4","flat-z","mbt.count",93,1182,0.0786802030456853
"SD","SD25E4","inverted-u","mbt.count",22,1182,0.0186125211505922
"SD","SD25E4","short","mbt.count",179,1182,0.151438240270728
"SD","SD25E4","short-c","mbt.count",20,1182,0.0169204737732657
"SD","SD25E4","short-ur","mbt.count",26,1182,0.0219966159052453
"SD","SD25E4","step down","mbt.count",38,1182,0.0321489001692047
