"categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","rat.id","recording","usv.per"
"flat",307,"T0000100",426,0.720657276995305,"SD","SD22","MA",0.73444976076555
"flat-z",42,"T0000100",426,0.0985915492957746,"SD","SD22","MA",0.100478468899522
"flat-mz",14,"T0000100",426,0.0328638497652582,"SD","SD22","MA",0.0334928229665072
"short",38,"T0000100",426,0.0892018779342723,"SD","SD22","MA",0.0909090909090909
"short-ur",12,"T0000100",426,0.028169014084507,"SD","SD22","MA",0.0287081339712919
"short-c",2,"T0000100",426,0.00469483568075117,"SD","SD22","MA",0.00478468899521531
"complex",2,"T0000100",426,0.00469483568075117,"SD","SD22","MA",0.00478468899521531
"step down",1,"T0000100",426,0.00234741784037559,"SD","SD22","MA",0.00239234449760766
"flat",33,"T0000102",66,0.5,"WK","WK21","MA",0.540983606557377
"flat-z",1,"T0000102",66,0.0151515151515152,"WK","WK21","MA",0.0163934426229508
"flat-mz",0,"T0000102",66,0,"WK","WK21","MA",0
"short",21,"T0000102",66,0.318181818181818,"WK","WK21","MA",0.344262295081967
"short-ur",0,"T0000102",66,0,"WK","WK21","MA",0
"short-c",5,"T0000102",66,0.0757575757575758,"WK","WK21","MA",0.0819672131147541
"complex",1,"T0000102",66,0.0151515151515152,"WK","WK21","MA",0.0163934426229508
"step down",0,"T0000102",66,0,"WK","WK21","MA",0
"flat",98,"T0000109",302,0.324503311258278,"WK","WK2A3C1","MA",0.357664233576642
"flat-z",4,"T0000109",302,0.0132450331125828,"WK","WK2A3C1","MA",0.0145985401459854
"flat-mz",0,"T0000109",302,0,"WK","WK2A3C1","MA",0
"short",136,"T0000109",302,0.450331125827815,"WK","WK2A3C1","MA",0.496350364963504
"short-ur",11,"T0000109",302,0.0364238410596026,"WK","WK2A3C1","MA",0.0401459854014599
"short-c",9,"T0000109",302,0.0298013245033113,"WK","WK2A3C1","MA",0.0328467153284672
"complex",14,"T0000109",302,0.0463576158940397,"WK","WK2A3C1","MA",0.0510948905109489
"step down",2,"T0000109",302,0.00662251655629139,"WK","WK2A3C1","MA",0.0072992700729927
"flat",490,"T0000111",662,0.740181268882175,"SD","SD17","MA",0.784
"flat-z",10,"T0000111",662,0.0151057401812689,"SD","SD17","MA",0.016
"flat-mz",2,"T0000111",662,0.00302114803625378,"SD","SD17","MA",0.0032
"short",75,"T0000111",662,0.113293051359517,"SD","SD17","MA",0.12
"short-ur",2,"T0000111",662,0.00302114803625378,"SD","SD17","MA",0.0032
"short-c",2,"T0000111",662,0.00302114803625378,"SD","SD17","MA",0.0032
"complex",12,"T0000111",662,0.0181268882175227,"SD","SD17","MA",0.0192
"step down",32,"T0000111",662,0.0483383685800604,"SD","SD17","MA",0.0512
"flat",10,"T0000138",143,0.0699300699300699,"WK","WK26","MA",0.0763358778625954
"flat-z",0,"T0000138",143,0,"WK","WK26","MA",0
"flat-mz",0,"T0000138",143,0,"WK","WK26","MA",0
"short",57,"T0000138",143,0.398601398601399,"WK","WK26","MA",0.435114503816794
"short-ur",0,"T0000138",143,0,"WK","WK26","MA",0
"short-c",57,"T0000138",143,0.398601398601399,"WK","WK26","MA",0.435114503816794
"complex",6,"T0000138",143,0.041958041958042,"WK","WK26","MA",0.0458015267175573
"step down",1,"T0000138",143,0.00699300699300699,"WK","WK26","MA",0.00763358778625954
"flat",119,"T0000145",166,0.716867469879518,"SD","SD24","MA",0.748427672955975
"flat-z",0,"T0000145",166,0,"SD","SD24","MA",0
"flat-mz",2,"T0000145",166,0.0120481927710843,"SD","SD24","MA",0.0125786163522013
"short",25,"T0000145",166,0.150602409638554,"SD","SD24","MA",0.157232704402516
"short-ur",1,"T0000145",166,0.00602409638554217,"SD","SD24","MA",0.00628930817610063
"short-c",7,"T0000145",166,0.0421686746987952,"SD","SD24","MA",0.0440251572327044
"complex",4,"T0000145",166,0.0240963855421687,"SD","SD24","MA",0.0251572327044025
"step down",1,"T0000145",166,0.00602409638554217,"SD","SD24","MA",0.00628930817610063
"flat",401,"T0000159",631,0.635499207606973,"SD","SD25E4","MA",0.65415986949429
"flat-z",35,"T0000159",631,0.0554675118858954,"SD","SD25E4","MA",0.0570962479608483
"flat-mz",20,"T0000159",631,0.0316957210776545,"SD","SD25E4","MA",0.032626427406199
"short",128,"T0000159",631,0.202852614896989,"SD","SD25E4","MA",0.208809135399674
"short-ur",16,"T0000159",631,0.0253565768621236,"SD","SD25E4","MA",0.0261011419249592
"short-c",2,"T0000159",631,0.00316957210776545,"SD","SD25E4","MA",0.0032626427406199
"complex",5,"T0000159",631,0.00792393026941363,"SD","SD25E4","MA",0.00815660685154975
"step down",6,"T0000159",631,0.00950871632329636,"SD","SD25E4","MA",0.00978792822185971
"flat",484,"T0000161",660,0.733333333333333,"SD","SD17E3","MA",0.769475357710652
"flat-z",24,"T0000161",660,0.0363636363636364,"SD","SD17E3","MA",0.0381558028616852
"flat-mz",21,"T0000161",660,0.0318181818181818,"SD","SD17E3","MA",0.0333863275039746
"short",55,"T0000161",660,0.0833333333333333,"SD","SD17E3","MA",0.0874403815580286
"short-ur",14,"T0000161",660,0.0212121212121212,"SD","SD17E3","MA",0.0222575516693164
"short-c",6,"T0000161",660,0.00909090909090909,"SD","SD17E3","MA",0.0095389507154213
