"strain","label","recording","file.name","rat.id","mean.freq","sem","count"
"SD","complex","MA","T0000100","SD22",46766.6921688308,6428.33572262682,2
"SD","complex","MA","T0000111","SD17",50012.688192442,3583.27200462544,9
"SD","complex","MA","T0000145","SD24",46556.3774240805,1469.77498406407,3
"SD","complex","MA","T0000159","SD25E4",45510.4066763432,1258.09065269645,4
"SD","complex","MA","T0000161","SD17E3",48759.6689222931,2629.79940767625,16
"SD","complex","MA","T0000201","SD31E5",45692,NA,1
"SD","complex","MA","T0000251","SD76",53824.0787416716,4391.80472145491,3
"SD","flat","MA","T0000100","SD22",46292.6822011282,320.661817215024,235
"SD","flat","MA","T0000111","SD17",39397.4368876898,331.005893513746,341
"SD","flat","MA","T0000145","SD24",40729.6703847143,494.01347197795,101
"SD","flat","MA","T0000159","SD25E4",42467.0531668474,355.460699065032,283
"SD","flat","MA","T0000161","SD17E3",43841.6627000234,247.804335957504,402
"SD","flat","MA","T0000201","SD31E5",43972.7340409406,512.322479970749,102
"SD","flat","MA","T0000251","SD76",47214.7946011261,1152.61384665141,88
"SD","flat","MA","T0000260","SD78",46705.8861789979,717.587255086794,217
"SD","flat-mz","MA","T0000100","SD22",43739.2692540937,729.125309625045,13
"SD","flat-mz","MA","T0000111","SD17",35322.6508381559,215.349161844082,2
"SD","flat-mz","MA","T0000145","SD24",42256.4689462316,463.197995238788,2
"SD","flat-mz","MA","T0000159","SD25E4",38819.976072958,368.466314482717,14
"SD","flat-mz","MA","T0000161","SD17E3",42467.0159458268,1259.10150384921,21
"SD","flat-mz","MA","T0000201","SD31E5",41826.2550724638,1097.74492753623,2
"SD","flat-mz","MA","T0000251","SD76",40719.6550706992,928.463045960564,5
"SD","flat-mz","MA","T0000260","SD78",38827.6390365577,237.966512320781,4
"SD","flat-z","MA","T0000100","SD22",42707.8821396176,346.927399365669,37
"SD","flat-z","MA","T0000111","SD17",36901.3162783382,1040.01909414217,5
"SD","flat-z","MA","T0000159","SD25E4",38883.847548935,647.345253972635,29
"SD","flat-z","MA","T0000161","SD17E3",40087.516515387,586.828558767581,19
"SD","flat-z","MA","T0000201","SD31E5",42910.6292018856,1531.74186158968,8
"SD","flat-z","MA","T0000251","SD76",42722.1277648914,1519.72897133452,11
