"categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","rat.id","recording","rat.id.fix","usv.per"
"flat",286,"T0000087",486,0.588477366255144,"SD","SD22","Fpupiso","SD22 F",0.593360995850622
"flat-z",83,"T0000087",486,0.170781893004115,"SD","SD22","Fpupiso","SD22 F",0.172199170124481
"flat-mz",95,"T0000087",486,0.195473251028807,"SD","SD22","Fpupiso","SD22 F",0.197095435684647
"short",18,"T0000087",486,0.037037037037037,"SD","SD22","Fpupiso","SD22 F",0.037344398340249
"short-c",0,"T0000087",486,0,"SD","SD22","Fpupiso","SD22 F",0
"flat",105,"T0000088",141,0.74468085106383,"SD","SD22","Mpupiso","SD22 M",0.74468085106383
"flat-z",29,"T0000088",141,0.205673758865248,"SD","SD22","Mpupiso","SD22 M",0.205673758865248
"flat-mz",7,"T0000088",141,0.049645390070922,"SD","SD22","Mpupiso","SD22 M",0.049645390070922
"short",0,"T0000088",141,0,"SD","SD22","Mpupiso","SD22 M",0
"short-c",0,"T0000088",141,0,"SD","SD22","Mpupiso","SD22 M",0
"flat",24,"T0000092",47,0.51063829787234,"WK","WK21","Fpupiso","WK21 F",0.533333333333333
"flat-z",16,"T0000092",47,0.340425531914894,"WK","WK21","Fpupiso","WK21 F",0.355555555555556
"flat-mz",3,"T0000092",47,0.0638297872340425,"WK","WK21","Fpupiso","WK21 F",0.0666666666666667
"short",2,"T0000092",47,0.0425531914893617,"WK","WK21","Fpupiso","WK21 F",0.0444444444444444
"short-c",0,"T0000092",47,0,"WK","WK21","Fpupiso","WK21 F",0
"flat",37,"T0000093",82,0.451219512195122,"WK","WK21","Mpupiso","WK21 M",0.480519480519481
"flat-z",8,"T0000093",82,0.0975609756097561,"WK","WK21","Mpupiso","WK21 M",0.103896103896104
"flat-mz",3,"T0000093",82,0.0365853658536585,"WK","WK21","Mpupiso","WK21 M",0.038961038961039
"short",19,"T0000093",82,0.231707317073171,"WK","WK21","Mpupiso","WK21 M",0.246753246753247
"short-c",10,"T0000093",82,0.121951219512195,"WK","WK21","Mpupiso","WK21 M",0.12987012987013
"flat",257,"T0000097",394,0.652284263959391,"WK","WK2A3C1","Fpupiso","WK2A3C1 F",0.689008042895442
"flat-z",17,"T0000097",394,0.0431472081218274,"WK","WK2A3C1","Fpupiso","WK2A3C1 F",0.0455764075067024
"flat-mz",16,"T0000097",394,0.0406091370558376,"WK","WK2A3C1","Fpupiso","WK2A3C1 F",0.0428954423592493
"short",69,"T0000097",394,0.175126903553299,"WK","WK2A3C1","Fpupiso","WK2A3C1 F",0.184986595174263
"short-c",14,"T0000097",394,0.0355329949238579,"WK","WK2A3C1","Fpupiso","WK2A3C1 F",0.0375335120643432
"flat",267,"T0000098",480,0.55625,"WK","WK2A3C1","Mpupiso","WK2A3C1 M",0.56687898089172
"flat-z",142,"T0000098",480,0.295833333333333,"WK","WK2A3C1","Mpupiso","WK2A3C1 M",0.301486199575372
"flat-mz",41,"T0000098",480,0.0854166666666667,"WK","WK2A3C1","Mpupiso","WK2A3C1 M",0.0870488322717622
"short",21,"T0000098",480,0.04375,"WK","WK2A3C1","Mpupiso","WK2A3C1 M",0.0445859872611465
"short-c",0,"T0000098",480,0,"WK","WK2A3C1","Mpupiso","WK2A3C1 M",0
"flat",21,"T0000106",26,0.807692307692308,"SD","SD17","Mpupiso","SD17 M",0.875
"flat-z",0,"T0000106",26,0,"SD","SD17","Mpupiso","SD17 M",0
"flat-mz",0,"T0000106",26,0,"SD","SD17","Mpupiso","SD17 M",0
"short",2,"T0000106",26,0.0769230769230769,"SD","SD17","Mpupiso","SD17 M",0.0833333333333333
"short-c",1,"T0000106",26,0.0384615384615385,"SD","SD17","Mpupiso","SD17 M",0.0416666666666667
"flat",151,"T0000107",176,0.857954545454545,"SD","SD17","Fpupiso","SD17 F",0.867816091954023
"flat-z",5,"T0000107",176,0.0284090909090909,"SD","SD17","Fpupiso","SD17 F",0.028735632183908
"flat-mz",0,"T0000107",176,0,"SD","SD17","Fpupiso","SD17 F",0
"short",17,"T0000107",176,0.0965909090909091,"SD","SD17","Fpupiso","SD17 F",0.0977011494252874
"short-c",1,"T0000107",176,0.00568181818181818,"SD","SD17","Fpupiso","SD17 F",0.00574712643678161
"flat",111,"T0000125",140,0.792857142857143,"WK","WK26","Mpupiso","WK26 M",0.847328244274809
"flat-z",2,"T0000125",140,0.0142857142857143,"WK","WK26","Mpupiso","WK26 M",0.0152671755725191
"flat-mz",0,"T0000125",140,0,"WK","WK26","Mpupiso","WK26 M",0
"short",16,"T0000125",140,0.114285714285714,"WK","WK26","Mpupiso","WK26 M",0.122137404580153
"short-c",2,"T0000125",140,0.0142857142857143,"WK","WK26","Mpupiso","WK26 M",0.0152671755725191
"flat",103,"T0000126",266,0.387218045112782,"WK","WK26","Fpupiso","WK26 F",0.438297872340426
"flat-z",11,"T0000126",266,0.0413533834586466,"WK","WK26","Fpupiso","WK26 F",0.0468085106382979
"flat-mz",3,"T0000126",266,0.0112781954887218,"WK","WK26","Fpupiso","WK26 F",0.0127659574468085
"short",73,"T0000126",266,0.274436090225564,"WK","WK26","Fpupiso","WK26 F",0.31063829787234
"short-c",45,"T0000126",266,0.169172932330827,"WK","WK26","Fpupiso","WK26 F",0.191489361702128
"flat",4,"T0000142",7,0.571428571428571,"SD","SD24","Fpupiso","SD24 F",0.571428571428571
"flat-z",0,"T0000142",7,0,"SD","SD24","Fpupiso","SD24 F",0
"flat-mz",0,"T0000142",7,0,"SD","SD24","Fpupiso","SD24 F",0
"short",3,"T0000142",7,0.428571428571429,"SD","SD24","Fpupiso","SD24 F",0.428571428571429
"short-c",0,"T0000142",7,0,"SD","SD24","Fpupiso","SD24 F",0
"flat",2,"T0000143",3,0.666666666666667,"SD","SD24","Mpupiso","SD24 M",0.666666666666667
"flat-z",0,"T0000143",3,0,"SD","SD24","Mpupiso","SD24 M",0
"flat-mz",0,"T0000143",3,0,"SD","SD24","Mpupiso","SD24 M",0
"short",1,"T0000143",3,0.333333333333333,"SD","SD24","Mpupiso","SD24 M",0.333333333333333
"short-c",0,"T0000143",3,0,"SD","SD24","Mpupiso","SD24 M",0
"flat",56,"T0000149",130,0.430769230769231,"SD","SD25E4","Fpupiso","SD25E4 F",0.462809917355372
"flat-z",33,"T0000149",130,0.253846153846154,"SD","SD25E4","Fpupiso","SD25E4 F",0.272727272727273
"flat-mz",21,"T0000149",130,0.161538461538462,"SD","SD25E4","Fpupiso","SD25E4 F",0.173553719008264
"short",11,"T0000149",130,0.0846153846153846,"SD","SD25E4","Fpupiso","SD25E4 F",0.0909090909090909
