"strain","label","recording","file.name","rat.id","mean.dur","SEM","count","rat.id.fix"
"SD","flat","Fpupiso","T0000087","SD22",0.0952684210526316,0.00245398768226696,285,"SD22 F"
"SD","flat","Fpupiso","T0000107","SD17",0.0715523178807947,0.00349361016644501,151,"SD17 F"
"SD","flat","Fpupiso","T0000142","SD24",0.035275,0.00466339915369322,4,"SD24 F"
"SD","flat","Fpupiso","T0000149","SD25E4",0.0730625,0.00681327369608709,56,"SD25E4 F"
"SD","flat","Fpupiso","T0000157","SD17E3",0.0412071428571429,0.00576564726488237,14,"SD17E3 F"
"SD","flat","Fpupiso","T0000197","SD31E5",0.0967713646532438,0.0021724942601115,447,"SD31E5 F"
"SD","flat","Fpupiso","T0000244","SD76",0.0352375,0.003278920998845,16,"SD76 F"
"SD","flat","Fpupiso","T0000255","SD78",0.0441691358024691,0.00263440926439715,162,"SD78 F"
"SD","flat","Mpupiso","T0000088","SD22",0.0968838095238095,0.00346496016495227,105,"SD22 M"
"SD","flat","Mpupiso","T0000106","SD17",0.0939095238095238,0.0102277165555682,21,"SD17 M"
"SD","flat","Mpupiso","T0000143","SD24",0.1062,0.0571,2,"SD24 M"
"SD","flat","Mpupiso","T0000151","SD25E4",0.07152,0.00869170990384698,20,"SD25E4 M"
"SD","flat","Mpupiso","T0000156","SD17E3",0.112215625,0.00527043856328835,96,"SD17E3 M"
"SD","flat","Mpupiso","T0000196","SD31E5",0.0758066666666667,0.00772595555721301,30,"SD31E5 M"
"SD","flat","Mpupiso","T0000243","SD76",0.04525,0.01305,2,"SD76 M"
"SD","flat","Mpupiso","T0000256","SD78",0.0789636203866432,0.00149640506794558,569,"SD78 M"
"SD","flat-mz","Fpupiso","T0000087","SD22",0.112104210526316,0.0030688325620733,95,"SD22 F"
"SD","flat-mz","Fpupiso","T0000149","SD25E4",0.157,0.00970292788408785,21,"SD25E4 F"
"SD","flat-mz","Fpupiso","T0000157","SD17E3",0.0947,0.0476,2,"SD17E3 F"
"SD","flat-mz","Fpupiso","T0000197","SD31E5",0.107651162790698,0.00594332160270954,43,"SD31E5 F"
"SD","flat-mz","Fpupiso","T0000255","SD78",0.0738333333333333,0.0241082512384822,3,"SD78 F"
"SD","flat-mz","Mpupiso","T0000088","SD22",0.1145,0.0196495849950117,7,"SD22 M"
"SD","flat-mz","Mpupiso","T0000151","SD25E4",0.0892,0.0101158291800524,3,"SD25E4 M"
"SD","flat-mz","Mpupiso","T0000156","SD17E3",0.108945,0.0114221103105936,20,"SD17E3 M"
"SD","flat-mz","Mpupiso","T0000196","SD31E5",0.1756,NA,1,"SD31E5 M"
"SD","flat-mz","Mpupiso","T0000256","SD78",0.107094936708861,0.00238949739930239,79,"SD78 M"
"SD","flat-z","Fpupiso","T0000087","SD22",0.0898132530120482,0.0031386932240223,83,"SD22 F"
"SD","flat-z","Fpupiso","T0000107","SD17",0.08454,0.0158618914382869,5,"SD17 F"
"SD","flat-z","Fpupiso","T0000149","SD25E4",0.0974545454545455,0.0088755410536198,33,"SD25E4 F"
"SD","flat-z","Fpupiso","T0000157","SD17E3",0.1152,NA,1,"SD17E3 F"
"SD","flat-z","Fpupiso","T0000197","SD31E5",0.0890594594594595,0.00639709189214666,37,"SD31E5 F"
"SD","flat-z","Fpupiso","T0000255","SD78",0.05036,0.015907815689151,5,"SD78 F"
"SD","flat-z","Mpupiso","T0000088","SD22",0.0927172413793103,0.00556122897465212,29,"SD22 M"
"SD","flat-z","Mpupiso","T0000151","SD25E4",0.0876666666666667,0.0105909814884594,9,"SD25E4 M"
"SD","flat-z","Mpupiso","T0000156","SD17E3",0.118934285714286,0.00719905332578631,35,"SD17E3 M"
"SD","flat-z","Mpupiso","T0000196","SD31E5",0.0658285714285714,0.0177809517433111,7,"SD31E5 M"
"SD","flat-z","Mpupiso","T0000256","SD78",0.0922102941176471,0.00307626869100999,68,"SD78 M"
"SD","short","Fpupiso","T0000087","SD22",0.00626470588235294,0.00069329462672544,17,"SD22 F"
"SD","short","Fpupiso","T0000107","SD17",0.00806470588235294,0.000654056413765314,17,"SD17 F"
"SD","short","Fpupiso","T0000142","SD24",0.0068,0.00172433562085034,3,"SD24 F"
"SD","short","Fpupiso","T0000149","SD25E4",0.00667058823529412,0.000593702534070672,17,"SD25E4 F"
"SD","short","Fpupiso","T0000157","SD17E3",0.00578461538461538,0.000477284809054966,13,"SD17E3 F"
"SD","short","Fpupiso","T0000197","SD31E5",0.00808,0.000508537635102644,20,"SD31E5 F"
"SD","short","Fpupiso","T0000244","SD76",0.0054,0.000670820393249937,14,"SD76 F"
"SD","short","Fpupiso","T0000255","SD78",0.00636206896551724,0.000226619294426396,116,"SD78 F"
"SD","short","Mpupiso","T0000106","SD17",0.0048,0.00122678441463853,4,"SD17 M"
"SD","short","Mpupiso","T0000143","SD24",0.0102,NA,1,"SD24 M"
"SD","short","Mpupiso","T0000151","SD25E4",0.00530666666666667,0.000709424090148156,15,"SD25E4 M"
"SD","short","Mpupiso","T0000156","SD17E3",0.00813333333333333,0.00118368539363765,3,"SD17E3 M"
"SD","short","Mpupiso","T0000196","SD31E5",0.0061,NA,1,"SD31E5 M"
"SD","short","Mpupiso","T0000243","SD76",0.00464285714285714,0.000373677740869869,35,"SD76 M"
"SD","short","Mpupiso","T0000256","SD78",0.00683548387096774,0.000449744213733793,31,"SD78 M"
"WK","flat","Fpupiso","T0000092","WK21",0.067325,0.00945931457592868,24,"WK21 F"
"WK","flat","Fpupiso","T0000097","WK2A3C1",0.057067578125,0.00236095576962292,256,"WK2A3C1 F"
"WK","flat","Fpupiso","T0000126","WK26",0.0433980392156863,0.00294657205859787,102,"WK26 F"
"WK","flat","Fpupiso","T0000187","WK29E2",0.0245,NA,1,"WK29E2 F"
"WK","flat","Fpupiso","T0000191","WK34G1",0.0627909090909091,0.0145054814375648,11,"WK34G1 F"
