"strain","label","recording","file.name","rat.id","mean.freq","sem","count","rat.id.fix"
"SD","flat","Fpupiso","T0000087","SD22",44176.1008873361,250.834775098545,282,"SD22 F"
"SD","flat","Fpupiso","T0000107","SD17",36960.7332900351,268.34114912562,151,"SD17 F"
"SD","flat","Fpupiso","T0000142","SD24",47308.9306748967,2164.70409974096,4,"SD24 F"
"SD","flat","Fpupiso","T0000149","SD25E4",42676.4522119682,475.106671766587,52,"SD25E4 F"
"SD","flat","Fpupiso","T0000157","SD17E3",39625.7787908809,861.470899038663,11,"SD17E3 F"
"SD","flat","Fpupiso","T0000197","SD31E5",37499.4219184178,140.588483324236,444,"SD31E5 F"
"SD","flat","Fpupiso","T0000244","SD76",58531.1564379679,1847.4553193651,14,"SD76 F"
"SD","flat","Fpupiso","T0000255","SD78",55490.3626940094,1147.12893937758,161,"SD78 F"
"SD","flat","Mpupiso","T0000088","SD22",45367.5043201302,296.769431157772,102,"SD22 M"
"SD","flat","Mpupiso","T0000106","SD17",39719.9968392633,507.751304612917,21,"SD17 M"
"SD","flat","Mpupiso","T0000143","SD24",41027.2034718943,3774.3935159027,2,"SD24 M"
"SD","flat","Mpupiso","T0000151","SD25E4",42012.3312561758,1113.45027316028,19,"SD25E4 M"
"SD","flat","Mpupiso","T0000156","SD17E3",35689.8841784308,250.741098274981,93,"SD17E3 M"
"SD","flat","Mpupiso","T0000196","SD31E5",40289.7490924817,608.226420227188,22,"SD31E5 M"
"SD","flat","Mpupiso","T0000243","SD76",55410.0344269249,10720.0344269249,2,"SD76 M"
"SD","flat","Mpupiso","T0000256","SD78",39600.661456211,180.161467330169,569,"SD78 M"
"SD","flat-mz","Fpupiso","T0000087","SD22",43949.6942837507,119.726759202536,95,"SD22 F"
"SD","flat-mz","Fpupiso","T0000149","SD25E4",41598.0388678638,404.496353012913,21,"SD25E4 F"
"SD","flat-mz","Fpupiso","T0000157","SD17E3",42656.2428223708,3771.7571776292,2,"SD17E3 F"
"SD","flat-mz","Fpupiso","T0000197","SD31E5",39405.0215013125,250.47674273588,43,"SD31E5 F"
"SD","flat-mz","Fpupiso","T0000255","SD78",60718.759254464,11571.3459564129,3,"SD78 F"
"SD","flat-mz","Mpupiso","T0000088","SD22",47173.2633980586,443.854252769372,7,"SD22 M"
"SD","flat-mz","Mpupiso","T0000151","SD25E4",41929.7219677684,253.760393015987,3,"SD25E4 M"
"SD","flat-mz","Mpupiso","T0000156","SD17E3",37702.8238972369,274.126975282212,20,"SD17E3 M"
"SD","flat-mz","Mpupiso","T0000196","SD31E5",38719.3453172701,NA,1,"SD31E5 M"
"SD","flat-mz","Mpupiso","T0000256","SD78",41615.9108244092,210.721955086279,79,"SD78 M"
"SD","flat-z","Fpupiso","T0000087","SD22",44173.6205637053,209.886994833854,82,"SD22 F"
"SD","flat-z","Fpupiso","T0000107","SD17",36107.4989974576,638.673190254246,5,"SD17 F"
"SD","flat-z","Fpupiso","T0000149","SD25E4",42529.9492603689,534.81023055105,33,"SD25E4 F"
"SD","flat-z","Fpupiso","T0000157","SD17E3",43057.6735279184,NA,1,"SD17E3 F"
"SD","flat-z","Fpupiso","T0000197","SD31E5",40030.1315461466,325.074034479942,37,"SD31E5 F"
"SD","flat-z","Fpupiso","T0000255","SD78",66167.1827260071,6844.09698038919,5,"SD78 F"
"SD","flat-z","Mpupiso","T0000088","SD22",45721.098802754,242.493549749837,29,"SD22 M"
"SD","flat-z","Mpupiso","T0000151","SD25E4",39915.2776923902,393.937286851402,9,"SD25E4 M"
"SD","flat-z","Mpupiso","T0000156","SD17E3",37128.8756410506,319.313677596924,35,"SD17E3 M"
"SD","flat-z","Mpupiso","T0000196","SD31E5",42556.3954306839,558.144735903883,6,"SD31E5 M"
"SD","flat-z","Mpupiso","T0000256","SD78",41225.153888338,336.38367235455,68,"SD78 M"
"SD","short","Fpupiso","T0000087","SD22",50910.7569816395,884.834500459122,17,"SD22 F"
"SD","short","Fpupiso","T0000107","SD17",40867.2197511905,1466.71543272782,17,"SD17 F"
"SD","short","Fpupiso","T0000142","SD24",48852.1190171206,1853.88098287937,2,"SD24 F"
"SD","short","Fpupiso","T0000149","SD25E4",55757.1627565012,3024.49122717531,12,"SD25E4 F"
"SD","short","Fpupiso","T0000157","SD17E3",64837.2506591851,3284.68884493707,9,"SD17E3 F"
"SD","short","Fpupiso","T0000197","SD31E5",41644.6158627773,861.88971158884,20,"SD31E5 F"
"SD","short","Fpupiso","T0000244","SD76",68216.523827082,3475.50821327941,13,"SD76 F"
"SD","short","Fpupiso","T0000255","SD78",63870.1220148081,637.673645501894,116,"SD78 F"
"SD","short","Mpupiso","T0000106","SD17",62628.1494261553,8296.26515820081,4,"SD17 M"
"SD","short","Mpupiso","T0000143","SD24",41467.1935083982,NA,1,"SD24 M"
"SD","short","Mpupiso","T0000151","SD25E4",59933.3635456605,2279.39298472311,14,"SD25E4 M"
"SD","short","Mpupiso","T0000156","SD17E3",41929.8688495796,7636.08312842105,3,"SD17E3 M"
"SD","short","Mpupiso","T0000243","SD76",66413.8627994045,1797.62835580105,30,"SD76 M"
"SD","short","Mpupiso","T0000256","SD78",45113.3791391199,1594.14906776303,31,"SD78 M"
"WK","flat","Fpupiso","T0000092","WK21",46588.606400793,676.466045773586,19,"WK21 F"
"WK","flat","Fpupiso","T0000097","WK2A3C1",47806.6979864963,178.25014779151,228,"WK2A3C1 F"
"WK","flat","Fpupiso","T0000126","WK26",48540.1829652689,1078.12454390024,58,"WK26 F"
"WK","flat","Fpupiso","T0000187","WK29E2",77160.9095400746,NA,1,"WK29E2 F"
"WK","flat","Fpupiso","T0000191","WK34G1",40009.5083806509,255.635388535547,11,"WK34G1 F"
"WK","flat","Fpupiso","T0000230","WK77",47135.7392429227,3379.49294348709,10,"WK77 F"
"WK","flat","Mpupiso","T0000093","WK21",59309.3429494229,2489.72591750506,30,"WK21 M"
"WK","flat","Mpupiso","T0000098","WK2A3C1",49176.2487791358,277.114008409059,214,"WK2A3C1 M"
"WK","flat","Mpupiso","T0000125","WK26",41103.4411175867,190.530964759627,107,"WK26 M"
"WK","flat","Mpupiso","T0000192","WK34G1",44622.7668533986,394.057852948704,75,"WK34G1 M"
"WK","flat","Mpupiso","T0000229","WK77",47170.3006200293,587.087311223256,67,"WK77 M"
"WK","flat-mz","Fpupiso","T0000092","WK21",47217.0278018054,848.020620053789,3,"WK21 F"
"WK","flat-mz","Fpupiso","T0000097","WK2A3C1",50679.5143370748,571.846552309744,16,"WK2A3C1 F"
"WK","flat-mz","Fpupiso","T0000126","WK26",46185.7508959745,984.815228050465,2,"WK26 F"
"WK","flat-mz","Fpupiso","T0000191","WK34G1",51128.6118960473,NA,1,"WK34G1 F"
"WK","flat-mz","Mpupiso","T0000093","WK21",49017.3344700644,1250.44633462824,3,"WK21 M"
"WK","flat-mz","Mpupiso","T0000098","WK2A3C1",50126.5741102864,243.37891434535,40,"WK2A3C1 M"
"WK","flat-mz","Mpupiso","T0000192","WK34G1",46524.2579251006,795.813756644341,3,"WK34G1 M"
"WK","flat-z","Fpupiso","T0000092","WK21",48557.1838017397,488.188088107356,14,"WK21 F"
"WK","flat-z","Fpupiso","T0000097","WK2A3C1",52633.7869474499,759.282658922951,15,"WK2A3C1 F"
"WK","flat-z","Fpupiso","T0000126","WK26",53776.7147999716,3452.40427948473,10,"WK26 F"
"WK","flat-z","Fpupiso","T0000230","WK77",42148.0752794427,NA,1,"WK77 F"
"WK","flat-z","Mpupiso","T0000093","WK21",55205.0536513955,4167.62412934513,8,"WK21 M"
"WK","flat-z","Mpupiso","T0000098","WK2A3C1",51502.4114667213,197.322212518363,140,"WK2A3C1 M"
"WK","flat-z","Mpupiso","T0000125","WK26",45294.4492138857,1080.4629696509,2,"WK26 M"
